feature,rank,osm_h3_cell_id,osm_h3_cell_id_hex,lat,lon,state_fips,tract_geoid,value,p99,p999,value_over_p99,neighbor_cells_present,neighbor_median,value_over_neighbor_median
osm_road_length_density_m_per_km2,2,617685291756945407,89275800e27ffff,43.075079439059465,-89.39772526400166,55,55025001102,168037.2623662028,33240.511739722875,58012.53916842319,5.05519480812914,6,87509.62270122117,1.9202146824460928
osm_road_length_density_m_per_km2,3,617685291654971391,89275800813ffff,43.071955687658665,-89.38286967678222,55,55025001704,158674.0893391606,33240.511739722875,58012.53916842319,4.773515238922837,6,63540.290727722604,2.497220071263085
osm_road_length_density_m_per_km2,4,617712131264479231,8928de91d77ffff,49.0084112894234,-123.12991951576593,,,150622.99601476896,33240.511739722875,58012.53916842319,4.53130797727077,5,14338.83792906362,10.504546934690488
osm_road_length_density_m_per_km2,5,617685291666767871,892758008c7ffff,43.074221812580525,-89.386010332521,55,55025001704,146554.79312092083,33240.511739722875,58012.53916842319,4.40892108606697,6,102744.3069975271,1.4264030524284734
osm_road_length_density_m_per_km2,6,617733151020285951,892a107288bffff,40.70956378150535,-74.01194645439377,36,36061001300,141618.85343023643,33240.511739722875,58012.53916842319,4.260429398293526,6,79601.8629945862,1.7790896858766743
osm_road_length_density_m_per_km2,7,617668398402502655,8926622c3c3ffff,39.84121033448385,-88.97609904139831,17,17115001600,134994.6596706127,33240.511739722875,58012.53916842319,4.0611486588304295,6,49905.104604520915,2.705027085713863
osm_road_length_density_m_per_km2,8,617742288663347199,892a956ae83ffff,39.99960115208191,-83.01231328659033,39,39049001121,129549.78307862728,33240.511739722875,58012.53916842319,3.8973462289936256,6,92520.58155292785,1.4002266404315271
osm_road_length_density_m_per_km2,9,617685291757469695,89275800e2fffff,43.07437499488561,-89.40201198310662,55,55025001102,128621.87638695307,33240.511739722875,58012.53916842319,3.8694312949835887,6,77799.69577487715,1.6532439504536889
osm_road_length_density_m_per_km2,10,618203345285808127,8944caacab7ffff,35.96131314363981,-83.92913476400481,47,47093006903,128420.12190861463,33240.511739722875,58012.53916842319,3.863361759113678,6,72990.51167597176,1.759408434875928
osm_road_length_density_m_per_km2,11,617712131263168511,8928de91d63ffff,49.010180860425166,-123.12610843135,,,127573.44576682408,33240.511739722875,58012.53916842319,3.8378905465035915,5,8246.952702141209,15.469161807330527
osm_road_length_density_m_per_km2,12,617733151070355455,892a1072b87ffff,40.688215543742885,-74.01964837497138,36,36061000500,126968.43614842258,33240.511739722875,58012.53916842319,3.8196895746551798,6,70345.46213226054,1.804927173691772
osm_road_length_density_m_per_km2,13,617685291659689983,8927580085bffff,43.07210935520175,-89.39887066162692,55,55025001603,126813.95324677404,33240.511739722875,58012.53916842319,3.8150421461541337,6,75851.683678169,1.6718673481900912
osm_road_length_density_m_per_km2,14,617742288667017215,892a956aebbffff,39.9944315381902,-83.01111802717641,39,39049001121,125388.89334658982,33240.511739722875,58012.53916842319,3.772170968016366,6,88998.33004233788,1.4088904059990832
osm_road_length_density_m_per_km2,15,617664619240226815,89262b2dc23ffff,41.79219809443732,-93.52525062172258,19,19153010101,124051.59036056761,33240.511739722875,58012.53916842319,3.731939848938133,5,46079.34178718537,2.6921302594445105
osm_road_length_density_m_per_km2,16,617742351863382015,892a9656587ffff,41.095524196311985,-85.15525599108298,18,18003000800,123249.73147235296,33240.511739722875,58012.53916842319,3.7078169083981884,6,52540.5577408391,2.3458017343533553
osm_road_length_density_m_per_km2,17,617663960592416767,892621981abffff,45.55091464727422,-94.15114615428152,27,27145011600,122708.36028858894,33240.511739722875,58012.53916842319,3.691530420753142,6,62169.123950080844,1.97378300500291
osm_road_length_density_m_per_km2,18,617711495747993599,8928d5525bbffff,47.44344304028151,-122.30012970311508,53,53033028402,122344.78000125347,33240.511739722875,58012.53916842319,3.68059255402647,6,35450.51567671126,3.4511424633979653
osm_road_length_density_m_per_km2,19,617662581654683647,89260d87293ffff,41.58692929739878,-93.6291589036454,19,19153005101,122011.63251736737,33240.511739722875,58012.53916842319,3.67057022084175,6,88822.18816902759,1.3736616382967357
osm_road_length_density_m_per_km2,20,617668524799426559,8926640319bffff,41.602316572097834,-87.33652056873518,18,18089010500,120871.38196120005,33240.511739722875,58012.53916842319,3.6362671822755686,6,64845.71214612965,1.8639841858597634
osm_road_length_density_m_per_km2,21,617663960593465343,892621981bbffff,45.55398668919364,-94.15028170274178,27,27145011600,120095.55007613516,33240.511739722875,58012.53916842319,3.6129272321827495,6,55158.79579088703,2.177269252422232
osm_road_length_density_m_per_km2,22,617671295902154751,89268c56433ffff,39.40301170218447,-104.88661498580156,08,08035014410,119174.36798514971,33240.511739722875,58012.53916842319,3.585214599531411,6,67062.43942666551,1.777065806194985
osm_road_length_density_m_per_km2,23,617662581621129215,89260d87093ffff,41.593136514817,-93.60171343894521,19,19153005102,118937.9570703691,33240.511739722875,58012.53916842319,3.5781024673045745,6,72868.34241428728,1.6322308581435352
osm_road_length_density_m_per_km2,24,617663960595300351,892621981d7ffff,45.560453258100054,-94.16081056681764,27,27145011600,116942.82620143646,33240.511739722875,58012.53916842319,3.518081403713414,6,87519.9747008802,1.336184415056285
