nibrs_code,offence_code,crimename1,crimename2,crimename3,source_file_uri
23F,2305,Crime Against Property,Theft From Motor Vehicle,LARCENY - FROM AUTO,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
23F,2305,Crime Against Property,Theft From Motor Vehicle,LARCENY - FROM AUTO,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
26A,2699,Crime Against Property,False Pretenses/Swindle/Confidence Game,FRAUD (DESCRIBE OFFENSE),s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
290,2901,Crime Against Property,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY - BUSINESS,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
26A,2699,Crime Against Property,False Pretenses/Swindle/Confidence Game,FRAUD (DESCRIBE OFFENSE),s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
23D,2308,Crime Against Property,Theft from Building,LARCENY - FROM BLDG,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
90Z,9109,Crime Against Society,All Other Offenses,RECOVERED PROPERTY - OTHER,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
23D,2308,Crime Against Property,Theft from Building,LARCENY - FROM BLDG,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
23H,2399,Crime Against Property,All other Larceny,LARCENY (DESCRIBE OFFENSE),s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
26B,2605,Crime Against Property,Credit Card/Automatic Teller Machine Fraud,FRAUD - ILLEGAL USE CREDIT CARDS,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
90G,4199,Crime Against Society,Liquor Law Violations,LIQUOR (DESCRIBE OFFENSE),s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
26A,2601,Crime Against Property,False Pretenses/Swindle/Confidence Game,FRAUD - CONFIDENCE GAME,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
23F,2305,Crime Against Property,Theft From Motor Vehicle,LARCENY - FROM AUTO,s3://crimenet-data/raw_files/landing/montgomery_county_md/part-00000.csv
