nibrs_code,offence_code,crimename1,crimename2,crimename3,row_count
," -77.017)""",,,,92
," -77.1946)""",,,,92
," -77.2078)""",,,,92
," -77.2454)""",,,,92
," -77.1785)""",,,,92
," -77.1626)""",,,,92
," -77.1546)""",,,,92
26A,2607,Crime Against Property,False Pretenses/Swindle/Confidence Game,FRAUD - FALSE STATEMENT,92
," -77.1425)""",,,,91
," -77.0672)""",,,,91
," -77.0396)""",,,,91
," -77.1684)""",,,,91
," -77.0761)""",,,,91
," -77.2067)""",,,,91
," -76.982)""",,,,91
," -77.0615)""",,,,91
," -77.1063)""",,,,91
," -77.28)""",,,,91
," -77.0905)""",,,,91
," -77.0008)""",,,,91
," -77.2423)""",,,,91
," -77.0001)""",,,,91
90Z,7399,Crime Against Society,All Other Offenses,PUBLIC ORDER CRIMES,91
," -77.2416)""",,,,91
," -77.0995)""",,,,91
," -77.1583)""",,,,91
," -77.1276)""",,,,90
," -76.9798)""",,,,90
," -77.2025)""",,,,90
," -77.1164)""",,,,90
," -77.1402)""",,,,90
," -76.9338)""",,,,90
," -77.1713)""",,,,90
," -76.9536)""",,,,90
," -77.1563)""",,,,90
," -76.9962)""",,,,90
," -77.0454)""",,,,90
," -77.0151)""",,,,90
," -77.0657)""",,,,90
," -77.1886)""",,,,90
," -77.2347)""",,,,90
," -76.941)""",,,,90
," -77.0463)""",,,,90
," -77.1527)""",,,,90
," -76.9856)""",,,,89
," -77.1967)""",,,,89
," -77.0777)""",,,,89
," -77.0941)""",,,,89
," -77.2545)""",,,,89
," -77.1186)""",,,,89
," -77.2592)""",,,,89
," -77.2151)""",,,,89
," -77.0014)""",,,,89
," -77.2508)""",,,,89
," -77.2006)""",,,,89
," -77.2397)""",,,,89
," -77.1076)""",,,,89
," -77.0208)""",,,,89
," -77.178)""",,,,89
," -77.1871)""",,,,89
," -77.092)""",,,,89
," -77.1444)""",,,,89
," -77.0172)""",,,,89
," -77.111)""",,,,88
," -76.9847)""",,,,88
," -77.0964)""",,,,88
," -77.1958)""",,,,88
," -77.1783)""",,,,88
," -77.2819)""",,,,88
," -77.1804)""",,,,88
," -77.1092)""",,,,88
," -77.0881)""",,,,88
," -77.2746)""",,,,88
," -77.0896)""",,,,88
," -77.1624)""",,,,88
," -77.0344)""",,,,88
," -77.1479)""",,,,88
," -77.079)""",,,,88
," -77.1912)""",,,,88
," -77.1217)""",,,,88
," -77.0164)""",,,,87
," -76.9891)""",,,,87
23E,2307,Crime Against Property,From Coin/Operated Machine or Device,LARCENY - FROM COIN MACHINE,87
," -77.1525)""",,,,87
," -77.2773)""",,,,87
," -77.0549)""",,,,87
," -77.1001)""",,,,87
," -77.1742)""",,,,87
," -77.0442)""",,,,87
," -77.0312)""",,,,87
," -77.2392)""",,,,87
," -77.2008)""",,,,87
," -77.0097)""",,,,87
," -77.2349)""",,,,86
," -77.097)""",,,,86
," -77.0144)""",,,,86
," -77.2105)""",,,,86
," -77.2509)""",,,,86
23H,2306,Crime Against Property,All other Larceny,LARCENY - FROM SHIPMENT,86
," -77.2117)""",,,,86
," -77.1097)""",,,,86
," -77.1178)""",,,,86
," -77.0365)""",,,,86
," -77.2113)""",,,,86
," -77.0883)""",,,,86
," -77.166)""",,,,86
," -77.1151)""",,,,86
," -77.1627)""",,,,86
," -77.0234)""",,,,86
," -77.1361)""",,,,86
," -76.9914)""",,,,86
," -77.0282)""",,,,86
," -77.1769)""",,,,85
," -77.2674)""",,,,85
," -77.1689)""",,,,85
," -77.0969)""",,,,85
," -77.0784)""",,,,85
," -77.0813)""",,,,85
," -77.0203)""",,,,85
," -77.1587)""",,,,85
," -77.2622)""",,,,85
," -77.1153)""",,,,84
," -77.2201)""",,,,84
," -77.0341)""",,,,84
," -77.1254)""",,,,84
," -77.1021)""",,,,84
," -76.9447)""",,,,84
90Z,5007,Crime Against Society,All Other Offenses,OBSTRUCT GOVT - OBSTRUCTING COURT ORDER,84
," -77.0895)""",,,,84
," -77.0576)""",,,,84
," -77.2632)""",,,,84
," -76.9932)""",,,,84
," -77.1701)""",,,,84
," -77.1467)""",,,,84
," -77.054)""",,,,84
," -77.0932)""",,,,84
35A,3503,Crime Against Society,Drug/Narcotic Violations,DRUGS - HALLUCINOGEN - SELL,84
," -77.2436)""",,,,83
," -77.1377)""",,,,83
," -76.9916)""",,,,83
," -77.1812)""",,,,83
," -77.0176)""",,,,83
," -77.2243)""",,,,83
90Z,9110,Crime Against Society,All Other Offenses,SOLICITATION - MINOR FOR SEXUAL ACTS,83
," -77.0698)""",,,,83
," -77.2485)""",,,,83
," -77.1685)""",,,,83
," -77.248)""",,,,83
," -76.9958)""",,,,83
," -77.2681)""",,,,83
," -77.2586)""",,,,83
," -77.0021)""",,,,83
90Z,5401,Crime Against Society,All Other Offenses,HIT AND RUN,83
," -77.1883)""",,,,83
," -77.0916)""",,,,83
," -77.1204)""",,,,83
90Z,9102,Crime Against Society,All Other Offenses,ANIMAL BITE,83
," -77.0101)""",,,,83
," -76.9863)""",,,,83
," -77.0227)""",,,,83
," -77.1736)""",,,,82
," -77.1511)""",,,,82
," -77.1068)""",,,,82
250,2507,Crime Against Property,Counterfeiting/Forgery,COUNTERFEITING - POSS COUNTERFEITED,82
," -77.2321)""",,,,82
," -77.2656)""",,,,82
," -77.1766)""",,,,82
," -77.1106)""",,,,82
," -77.1672)""",,,,82
," -77.2425)""",,,,82
," -77.2496)""",,,,82
," -77.1995)""",,,,82
," -77.1142)""",,,,82
," -77.0687)""",,,,82
," -77.2505)""",,,,82
," -77.0072)""",,,,82
," -77.1043)""",,,,82
," -76.9839)""",,,,82
," -77.1688)""",,,,82
," -76.9614)""",,,,81
," -77.1663)""",,,,81
," -77.0328)""",,,,81
," -77.0764)""",,,,81
," -77.0892)""",,,,81
," -77.2369)""",,,,81
," -77.1556)""",,,,81
," -77.0438)""",,,,81
," -76.951)""",,,,81
," -77.0551)""",,,,81
," -77.2035)""",,,,81
," -76.991)""",,,,81
," -77.1625)""",,,,81
," -77.1802)""",,,,81
," -77.0886)""",,,,81
," -76.9995)""",,,,80
," -77.1419)""",,,,80
," -77.0613)""",,,,80
," -77.1711)""",,,,80
," -76.9241)""",,,,80
," -77.1026)""",,,,80
," -77.2057)""",,,,80
," -77.1975)""",,,,80
," -77.0861)""",,,,80
," -77.1294)""",,,,80
," -77.1029)""",,,,80
," -76.9942)""",,,,80
," -77.1462)""",,,,80
," -77.0557)""",,,,80
," -77.2779)""",,,,80
," -77.2413)""",,,,80
," -77.0105)""",,,,80
," -77.0972)""",,,,80
," -77.0954)""",,,,80
," -77.1324)""",,,,80
," -77.1225)""",,,,80
," -77.1123)""",,,,80
," -76.9803)""",,,,79
," -77.1683)""",,,,79
," -77.1124)""",,,,79
," -77.2387)""",,,,79
," -77.1591)""",,,,79
," -77.008)""",,,,79
," -77.188)""",,,,79
," -77.0079)""",,,,79
," -77.1215)""",,,,79
," -77.1781)""",,,,79
," -77.2679)""",,,,79
," -77.132)""",,,,79
," -77.1441)""",,,,79
," -77.0688)""",,,,79
," -77.108)""",,,,79
," -76.9933)""",,,,79
," -77.0427)""",,,,79
," -76.9812)""",,,,79
," -76.9951)""",,,,79
," -77.2001)""",,,,79
," -77.1039)""",,,,79
," -77.2292)""",,,,79
," -77.0162)""",,,,79
," -77.1922)""",,,,79
," -77.0943)""",,,,79
," -77.2324)""",,,,79
," -77.2042)""",,,,79
," -76.9992)""",,,,78
," -77.1588)""",,,,78
," -77.2488)""",,,,78
," -77.1805)""",,,,78
," -77.2102)""",,,,78
," -77.1746)""",,,,78
," -77.0839)""",,,,78
," -77.2694)""",,,,78
," -77.0275)""",,,,78
," -77.0111)""",,,,78
," -76.9512)""",,,,78
," -77.1292)""",,,,78
11A,1113,Crime Against Person,Forcible Rape,SEX ASSAULT - SODOMY-MAN-STRONG-ARM,78
," -77.1297)""",,,,78
," -77.2368)""",,,,78
," -77.1222)""",,,,78
," -77.2061)""",,,,78
," -77.4085)""",,,,78
," -77.0709)""",,,,78
," -77.1083)""",,,,78
," -77.217)""",,,,78
," -77.0851)""",,,,78
," -77.1515)""",,,,78
," -77.1949)""",,,,78
," -76.9815)""",,,,78
," -77.0537)""",,,,77
," -77.0534)""",,,,77
," -77.0205)""",,,,77
," -77.0434)""",,,,77
," -76.9794)""",,,,77
," -77.2463)""",,,,77
," -77.2163)""",,,,77
," -76.9796)""",,,,77
," -77.2366)""",,,,77
," -77.2402)""",,,,77
270,2703,Crime Against Property,Embezzlement,EMBEZZLE - BANKING-TYPE INST,77
," -77.2259)""",,,,77
," -77.2518)""",,,,77
," -76.9691)""",,,,77
," -77.2101)""",,,,77
," -77.1942)""",,,,77
," -77.1552)""",,,,77
," -76.953)""",,,,77
," -77.2311)""",,,,76
," -77.1873)""",,,,76
," -77.0195)""",,,,76
," -77.2119)""",,,,76
," -77.1144)""",,,,76
," -76.9941)""",,,,76
," -77.1936)""",,,,76
," -77.1015)""",,,,76
," -77.1669)""",,,,76
," -77.0638)""",,,,76
," -77.1642)""",,,,76
," -77.1413)""",,,,76
," -77.2776)""",,,,76
," -77.244)""",,,,76
," -76.9425)""",,,,76
," -76.9905)""",,,,76
," -77.0859)""",,,,76
," -77.0878)""",,,,76
," -77.082)""",,,,76
," -77.2626)""",,,,76
90Z,9052,Crime Against Society,All Other Offenses,FIRE CODE VIOLATION,76
," -77.1982)""",,,,76
," -77.1503)""",,,,76
," -77.2149)""",,,,75
13A,1308,Crime Against Person,Aggravated Assault,ASSAULT - AGGRAVATED - PUB OFF-OTHER WEAPON,75
," -77.1652)""",,,,75
," -77.2355)""",,,,75
," -76.9938)""",,,,75
," -77.1045)""",,,,75
," -76.9814)""",,,,75
," -77.1317)""",,,,75
," -77.2585)""",,,,75
," -76.9989)""",,,,75
," -76.9996)""",,,,75
," -77.163)""",,,,75
," -77.0807)""",,,,75
," -77.1075)""",,,,75
," -77.12)""",,,,75
," -77.0594)""",,,,75
," -77.2123)""",,,,75
09A,0911,Crime Against Person,Murder and Nonnegligent Manslaughter,HOMICIDE - WILLFUL KILL-GUN,75
," -76.9772)""",,,,75
," -77.1543)""",,,,75
," -77.0007)""",,,,75
," -77.0842)""",,,,74
," -77.1544)""",,,,74
," -77.1965)""",,,,74
," -77.2367)""",,,,74
," -77.0188)""",,,,74
," -77.2646)""",,,,74
," -77.0033)""",,,,74
," -77.0596)""",,,,74
," -76.9472)""",,,,74
," -77.1835)""",,,,74
," -77.0047)""",,,,74
," -77.1129)""",,,,74
," -77.2795)""",,,,74
," -77.2754)""",,,,74
," -77.0525)""",,,,74
," -77.0414)""",,,,74
," -76.9259)""",,,,74
," -77.1825)""",,,,74
," -77.0986)""",,,,74
," -77.1813)""",,,,74
," -77.0545)""",,,,74
520,5203,Crime Against Society,Weapon Law Violations,CARRYING PROHIBITED WEAPON (SPECIFY WEAPON),74
," -77.0132)""",,,,74
," -77.1042)""",,,,74
," -77.0669)""",,,,74
," -77.0202)""",,,,74
," -77.04)""",,,,74
," -77.2145)""",,,,74
," -76.9787)""",,,,73
," -77.1128)""",,,,73
," -77.0217)""",,,,73
," -77.0607)""",,,,73
," -77.2162)""",,,,73
," -77.2862)""",,,,73
120,1211,Crime Against Property,Robbery,ROBBERY - BANKING-TYPE INST,73
," -77.2271)""",,,,73
," -77.0978)""",,,,73
," -77.2379)""",,,,73
," -77.2655)""",,,,73
," -77.0373)""",,,,73
," -77.1557)""",,,,73
," -77.17)""",,,,73
," -77.1354)""",,,,73
26A,2603,Crime Against Property,False Pretenses/Swindle/Confidence Game,FRAUD - MAIL,73
," -77.1207)""",,,,73
," -77.1175)""",,,,73
," -76.9327)""",,,,73
," -77.2607)""",,,,73
," -77.123)""",,,,73
," -77.0666)""",,,,72
," -77.1464)""",,,,72
," -77.1458)""",,,,72
," -77.0757)""",,,,72
," -77.2806)""",,,,72
," -77.0472)""",,,,72
," -77.2542)""",,,,72
," -77.1349)""",,,,72
," -77.2143)""",,,,72
," -77.2411)""",,,,72
," -77.2487)""",,,,72
," -77.1561)""",,,,72
," -77.1355)""",,,,72
," -77.1597)""",,,,72
," -77.144)""",,,,72
," -77.1159)""",,,,72
," -76.9556)""",,,,72
," -77.116)""",,,,71
," -77.1768)""",,,,71
," -77.181)""",,,,71
," -76.9987)""",,,,71
," -77.0324)""",,,,71
," -77.2628)""",,,,71
," -77.1941)""",,,,71
35A,3540,Crime Against Society,Drug/Narcotic Violations,DRUGS - SYNTHETIC NARCOTIC - SELL,71
," -77.1233)""",,,,71
," -77.2361)""",,,,71
," -76.9959)""",,,,71
," -77.269)""",,,,71
," -77.2738)""",,,,71
," -77.2783)""",,,,71
," -77.0662)""",,,,71
," -77.2594)""",,,,71
," -77.237)""",,,,71
," -76.9844)""",,,,71
," -77.2141)""",,,,71
," -77.059)""",,,,71
," -77.2249)""",,,,71
," -77.0426)""",,,,71
," -77.2344)""",,,,70
," -77.1271)""",,,,70
," -77.1088)""",,,,70
," -77.0703)""",,,,70
," -77.2495)""",,,,70
," -76.9888)""",,,,70
," -77.1338)""",,,,70
," -77.2713)""",,,,70
," -77.2722)""",,,,70
," -77.2443)""",,,,70
," -77.2763)""",,,,70
," -77.2672)""",,,,70
," -77.0415)""",,,,70
," -77.2297)""",,,,70
," -76.9948)""",,,,70
," -77.0211)""",,,,69
," -77.0273)""",,,,69
," -77.1739)""",,,,69
," -76.9869)""",,,,69
," -76.9775)""",,,,69
," -77.2421)""",,,,69
," -76.9961)""",,,,69
," -77.1595)""",,,,69
," -77.2247)""",,,,69
," -77.0005)""",,,,69
," -77.1445)""",,,,69
," -76.9935)""",,,,69
," -77.1024)""",,,,69
," -77.047)""",,,,69
," -77.1407)""",,,,69
," -76.9208)""",,,,69
," -77.0293)""",,,,69
," -76.9393)""",,,,69
," -77.1236)""",,,,69
," -77.1062)""",,,,69
," -77.0923)""",,,,69
," -77.143)""",,,,69
," -77.0049)""",,,,68
," -77.018)""",,,,68
," -77.1177)""",,,,68
," -77.1304)""",,,,68
," -77.1762)""",,,,68
," -77.1512)""",,,,68
," -77.279)""",,,,68
," -77.2491)""",,,,68
," -77.0119)""",,,,68
," -77.125)""",,,,68
," -77.2107)""",,,,68
," -77.064)""",,,,68
," -77.0811)""",,,,68
," -77.0635)""",,,,68
," -77.1438)""",,,,68
," -77.2408)""",,,,68
," -77.239)""",,,,68
," -77.2164)""",,,,68
," -77.0834)""",,,,68
," -77.1732)""",,,,68
," -77.2327)""",,,,68
," -77.1773)""",,,,68
," -77.2112)""",,,,67
," -77.0741)""",,,,67
," -77.1978)""",,,,67
," -77.1703)""",,,,67
," -77.1707)""",,,,67
," -77.0822)""",,,,67
," -77.0082)""",,,,67
," -77.1653)""",,,,67
," -76.9873)""",,,,67
," -77.2464)""",,,,67
," -77.2198)""",,,,67
," -77.1636)""",,,,67
," -77.0614)""",,,,67
," -77.243)""",,,,67
," -77.2126)""",,,,67
," -77.2225)""",,,,67
," -77.0616)""",,,,67
35A,3505,Crime Against Society,Drug/Narcotic Violations,DRUGS - HALLUCINOGEN (DESCRIBE OFFENSE),67
," -77.0506)""",,,,67
," -76.9413)""",,,,67
," -76.9735)""",,,,67
," -76.9725)""",,,,67
90Z,2206,Crime Against Society,All Other Offenses,BURGLARY TOOLS - POSSESS,67
," -77.267)""",,,,67
," -76.969)""",,,,67
," -77.2836)""",,,,66
," -77.101)""",,,,66
," -77.0578)""",,,,66
," -77.0665)""",,,,66
," -77.1279)""",,,,66
," -76.9765)""",,,,66
," -77.1896)""",,,,66
," -77.1047)""",,,,66
," -77.2571)""",,,,66
," -77.0863)""",,,,66
," -77.0514)""",,,,66
," -77.2807)""",,,,66
," -77.0107)""",,,,66
," -77.2702)""",,,,66
," -77.0774)""",,,,66
," -77.1415)""",,,,66
," -77.1811)""",,,,66
," -76.9292)""",,,,66
," -77.1368)""",,,,66
," -77.1087)""",,,,66
," -76.9248)""",,,,66
," -77.039)""",,,,66
," -77.1776)""",,,,66
," -77.0655)""",,,,65
," -77.1891)""",,,,65
," -77.1471)""",,,,65
," -77.0802)""",,,,65
," -77.0689)""",,,,65
," -77.2866)""",,,,65
," -77.0387)""",,,,65
," -77.0701)""",,,,65
," -76.9896)""",,,,65
," -77.1122)""",,,,65
," -77.0129)""",,,,65
," -77.1554)""",,,,65
," -76.9773)""",,,,65
," -77.1014)""",,,,65
," -76.9853)""",,,,65
," -77.0847)""",,,,65
," -77.1016)""",,,,64
," -77.0686)""",,,,64
," -77.2613)""",,,,64
," -77.2281)""",,,,64
," -77.051)""",,,,64
," -77.0044)""",,,,64
," -77.186)""",,,,64
," -77.0423)""",,,,64
370,3704,Crime Against Society,Pornography/Obscene Material,OBSCENE MATERIAL - POSSESS,64
," -77.004)""",,,,64
," -77.1246)""",,,,64
," -77.099)""",,,,64
," -77.1598)""",,,,64
," -77.1429)""",,,,64
," -77.1799)""",,,,64
," -77.2193)""",,,,64
," -77.1987)""",,,,64
," -77.0717)""",,,,64
," -77.056)""",,,,64
," -77.1986)""",,,,64
," -76.9314)""",,,,63
," -77.2813)""",,,,63
," -77.0469)""",,,,63
," -77.1357)""",,,,63
," -77.0352)""",,,,63
," -77.25)""",,,,63
," -76.9366)""",,,,63
," -77.1767)""",,,,63
," -76.9352)""",,,,63
," -77.1651)""",,,,63
," -77.1399)""",,,,63
90Z,5318,Crime Against Society,All Other Offenses,VIOLATION OF EMERGENCY ORDER - OTHER,63
," -77.1564)""",,,,63
," -77.1613)""",,,,63
," -77.1673)""",,,,63
," -77.2135)""",,,,63
," -77.1602)""",,,,63
," -77.2809)""",,,,63
," -77.2581)""",,,,63
," -77.2734)""",,,,63
," -77.1565)""",,,,63
," -77.1719)""",,,,63
," -76.945)""",,,,63
," -76.9312)""",,,,62
," -77.2762)""",,,,62
," -77.1721)""",,,,62
," -77.1108)""",,,,62
," -76.9877)""",,,,62
," -77.1179)""",,,,62
," -77.2832)""",,,,62
," -77.0455)""",,,,62
," -77.2686)""",,,,62
," -76.9417)""",,,,62
," -76.9304)""",,,,62
," -77.0821)""",,,,62
," -76.9324)""",,,,62
," -77.0645)""",,,,62
," -77.2348)""",,,,62
," -77.1706)""",,,,62
," -77.0939)""",,,,62
," -77.1571)""",,,,62
," -77.0816)""",,,,62
," -77.0158)""",,,,61
," -77.0159)""",,,,61
," -76.9368)""",,,,61
," -77.0443)""",,,,61
," -77.1628)""",,,,61
," -77.044)""",,,,61
," -77.1889)""",,,,61
," -77.1945)""",,,,61
," -77.1876)""",,,,61
," -77.158)""",,,,61
," -77.1966)""",,,,61
," -77.0258)""",,,,61
," -77.1053)""",,,,61
," -77.2671)""",,,,61
," -76.9503)""",,,,61
280,2899,Crime Against Property,Stolen Property Offenses,STOLEN PROPERTY (DESCRIBE OFFENSE),61
," -77.1216)""",,,,61
," -76.9838)""",,,,61
," -77.201)""",,,,61
," -76.9875)""",,,,61
," -77.2315)""",,,,61
," -77.2115)""",,,,61
," -76.9912)""",,,,61
," -77.0197)""",,,,61
," -77.1862)""",,,,61
," -77.2306)""",,,,60
," -76.9373)""",,,,60
," -77.2092)""",,,,60
," -77.1687)""",,,,60
," -77.2727)""",,,,60
," -77.0617)""",,,,60
," -77.1232)""",,,,60
," -77.041)""",,,,60
," -77.1902)""",,,,60
," -77.0075)""",,,,60
," -76.9322)""",,,,60
," -77.0304)""",,,,60
," -77.2034)""",,,,60
," -76.9974)""",,,,60
," -77.1934)""",,,,60
," -76.9762)""",,,,60
," -76.9913)""",,,,60
," -77.1251)""",,,,60
," -77.0201)""",,,,60
," -77.2852)""",,,,60
200,2002,Crime Against Property,Arson,ARSON - RESIDENTIAL-ENDANGERED LIFE,60
," -77.0874)""",,,,60
," -77.0143)""",,,,60
," -77.284)""",,,,60
," -76.9983)""",,,,60
," -76.9424)""",,,,60
," -77.0299)""",,,,60
," -77.009)""",,,,60
," -77.0937)""",,,,60
," -77.0053)""",,,,60
," -77.2854)""",,,,60
," -77.293)""",,,,60
," -77.0071)""",,,,60
," -77.106)""",,,,60
," -77.238)""",,,,60
," -77.0149)""",,,,59
," -77.2167)""",,,,59
," -76.9215)""",,,,59
," -77.1055)""",,,,59
," -77.2108)""",,,,59
," -77.271)""",,,,59
," -77.2803)""",,,,59
," -77.1888)""",,,,59
35A,3561,Crime Against Society,Drug/Narcotic Violations,DRUGS - MARIJUANA - SMUGGLE,59
," -77.2528)""",,,,59
," -77.1555)""",,,,59
," -77.0161)""",,,,59
," -76.9797)""",,,,59
," -77.1654)""",,,,59
," -77.1199)""",,,,59
," -77.0902)""",,,,59
," -77.0076)""",,,,59
," -77.025)""",,,,59
," -77.0824)""",,,,59
," -77.2649)""",,,,59
," -77.0103)""",,,,59
," -77.1704)""",,,,59
," -77.0944)""",,,,59
," -77.1541)""",,,,58
," -77.1237)""",,,,58
," -76.9946)""",,,,58
," -76.947)""",,,,58
," -77.2555)""",,,,58
," -77.1858)""",,,,58
," -77.0459)""",,,,58
," -77.2663)""",,,,58
," -77.2706)""",,,,58
," -77.0782)""",,,,58
," -77.0392)""",,,,58
," -77.0725)""",,,,58
," -77.0567)""",,,,58
," -76.9507)""",,,,58
," -77.2139)""",,,,58
," -76.9346)""",,,,58
," -77.0642)""",,,,57
," -76.9984)""",,,,57
," -77.162)""",,,,57
," -77.1476)""",,,,57
," -77.2537)""",,,,57
," -77.1733)""",,,,57
," -77.0182)""",,,,57
," -76.9511)""",,,,57
," -77.0664)""",,,,57
," -77.0137)""",,,,57
," -77.2265)""",,,,57
," -77.2469)""",,,,57
," -77.1006)""",,,,57
," -77.2309)""",,,,57
," -77.0062)""",,,,57
," -76.9733)""",,,,57
," -77.1069)""",,,,57
," -77.0601)""",,,,57
," -77.1715)""",,,,57
," -77.2226)""",,,,57
," -76.9829)""",,,,57
," -77.0406)""",,,,57
," -76.9678)""",,,,57
," -77.1496)""",,,,57
," -77.2479)""",,,,57
," -77.1833)""",,,,57
," -77.165)""",,,,57
," -77.1755)""",,,,57
," -77.2484)""",,,,57
," -76.9934)""",,,,56
," -76.9834)""",,,,56
," -77.0532)""",,,,56
," -77.0181)""",,,,56
," -77.1468)""",,,,56
," -77.0793)""",,,,56
," -77.2893)""",,,,56
," -77.218)""",,,,56
," -77.0388)""",,,,56
," -77.1089)""",,,,56
," -77.0362)""",,,,56
," -77.1486)""",,,,56
," -77.2104)""",,,,56
," -76.9541)""",,,,56
," -76.9372)""",,,,56
," -77.1057)""",,,,56
," -77.1735)""",,,,56
," -77.0004)""",,,,56
," -77.1698)""",,,,56
," -77.2514)""",,,,56
," -77.0649)""",,,,56
," -77.1605)""",,,,56
," -77.2294)""",,,,56
," -77.2133)""",,,,55
," -76.9915)""",,,,55
," -77.174)""",,,,55
," -77.0059)""",,,,55
," -77.0815)""",,,,55
," -76.9626)""",,,,55
," -77.0838)""",,,,55
," -76.9227)""",,,,55
," -77.019)""",,,,55
," -77.2777)""",,,,55
," -77.2782)""",,,,55
," -77.2333)""",,,,55
," -77.2414)""",,,,55
," -77.2314)""",,,,55
," -77.2637)""",,,,55
," -76.972)""",,,,55
," -77.1287)""",,,,55
," -77.2899)""",,,,55
," -77.1333)""",,,,55
," -77.0177)""",,,,55
," -76.9954)""",,,,55
," -76.9584)""",,,,54
," -77.1495)""",,,,54
120,1208,Crime Against Property,Robbery,ROBBERY - RESIDENTIAL-OTHER WEAPON,54
," -77.0425)""",,,,54
," -77.2218)""",,,,54
," -77.2238)""",,,,54
," -77.2685)""",,,,54
," -76.9713)""",,,,54
," -77.0716)""",,,,54
," -76.9506)""",,,,54
," -77.0094)""",,,,54
," -77.221)""",,,,54
," -77.2845)""",,,,54
," -77.0598)""",,,,54
," -77.0196)""",,,,54
," -77.007)""",,,,54
," -77.0228)""",,,,54
," -77.0599)""",,,,54
," -77.1702)""",,,,54
," -77.0721)""",,,,54
," -77.2404)""",,,,54
," -76.9892)""",,,,54
," -77.0794)""",,,,54
," -77.157)""",,,,54
," -77.2418)""",,,,54
," -77.226)""",,,,54
," -77.0236)""",,,,54
," -77.1524)""",,,,53
," -77.257)""",,,,53
," -77.0346)""",,,,53
," -77.2399)""",,,,53
," -77.199)""",,,,53
," -77.1051)""",,,,53
," -77.1974)""",,,,53
," -76.9824)""",,,,53
," -77.2394)""",,,,53
," -77.0713)""",,,,53
," -76.9857)""",,,,53
," -77.1145)""",,,,53
," -77.1729)""",,,,53
," -77.1847)""",,,,53
," -76.9744)""",,,,53
," -77.0029)""",,,,53
," -77.1782)""",,,,53
," -77.1296)""",,,,53
," -77.1818)""",,,,53
," -77.0429)""",,,,53
," -77.1384)""",,,,53
," -77.0189)""",,,,52
," -76.9828)""",,,,52
," -77.0696)""",,,,52
," -76.9808)""",,,,52
," -76.9611)""",,,,52
," -77.0404)""",,,,52
," -77.2483)""",,,,52
," -76.9757)""",,,,52
," -77.2598)""",,,,52
," -77.176)""",,,,52
," -77.1422)""",,,,52
," -77.2855)""",,,,52
," -77.1549)""",,,,52
," -77.0249)""",,,,52
," -77.1545)""",,,,52
," -77.2345)""",,,,52
," -77.1622)""",,,,52
," -77.0903)""",,,,52
," -77.2371)""",,,,52
," -76.9999)""",,,,52
," -77.2373)""",,,,52
," -77.1331)""",,,,52
," -76.9727)""",,,,52
," -77.1664)""",,,,52
," -77.0722)""",,,,52
," -77.1256)""",,,,52
," -77.1872)""",,,,52
," -76.9216)""",,,,51
," -77.1003)""",,,,51
," -76.999)""",,,,51
," -77.0901)""",,,,51
," -76.9384)""",,,,51
," -77.1972)""",,,,51
26D,9055,Crime Against Property,Welfare Fraud,FRAUD - WELFARE,51
," -77.2642)""",,,,51
," -77.1682)""",,,,51
," -77.1485)""",,,,51
," -77.1761)""",,,,51
," -77.2917)""",,,,51
," -77.2659)""",,,,51
," -77.1208)""",,,,51
," -77.0507)""",,,,51
," -77.2166)""",,,,51
," -77.0046)""",,,,51
," -77.2564)""",,,,51
," -77.1877)""",,,,51
," -77.1261)""",,,,51
," -77.2275)""",,,,51
," -77.1576)""",,,,51
," -76.9213)""",,,,51
," -77.2885)""",,,,51
," -77.0212)""",,,,51
," -77.1774)""",,,,51
," -77.1963)""",,,,51
," -77.2665)""",,,,51
," -77.2272)""",,,,51
," -77.1478)""",,,,50
," -76.9333)""",,,,50
," -77.0828)""",,,,50
," -77.1882)""",,,,50
," -77.0595)""",,,,50
," -76.9809)""",,,,50
," -77.0457)""",,,,50
," -77.0391)""",,,,50
100,1006,Crime Against Person,Kidnapping/Abduction,KIDNAP ADULT,50
," -77.0313)""",,,,50
," -77.1174)""",,,,50
," -77.1004)""",,,,50
," -77.2653)""",,,,50
," -77.0852)""",,,,50
," -77.126)""",,,,50
," -77.085)""",,,,50
," -77.2699)""",,,,50
," -77.247)""",,,,50
," -77.0849)""",,,,50
," -77.2615)""",,,,50
," -77.2203)""",,,,50
," -77.0381)""",,,,50
," -77.0837)""",,,,50
," -76.9604)""",,,,50
," -77.0179)""",,,,50
," -77.131)""",,,,50
," -77.026)""",,,,50
," -77.2094)""",,,,50
," -77.1071)""",,,,50
," -76.9908)""",,,,49
," -77.1778)""",,,,49
," -76.9826)""",,,,49
," -77.1959)""",,,,49
," -77.1641)""",,,,49
," -77.0575)""",,,,49
," -77.0173)""",,,,49
," -77.189)""",,,,49
," -76.9317)""",,,,49
," -77.1674)""",,,,49
," -76.9398)""",,,,49
," -77.134)""",,,,49
," -76.9491)""",,,,49
," -77.0882)""",,,,49
," -77.0527)""",,,,49
," -77.0677)""",,,,49
," -77.0413)""",,,,49
," -77.0559)""",,,,49
," -77.2748)""",,,,49
," -77.3018)""",,,,49
," -77.258)""",,,,49
," -77.0354)""",,,,49
," -77.0582)""",,,,49
