nibrs_code,offence_code,crimename1,crimename2,crimename3,row_count
," -77.0003)""",,,,614
," -77.0526)""",,,,613
35A,3572,Crime Against Society,Drug/Narcotic Violations,DRUGS - AMPHETAMINE - POSSESS,612
35A,3564,Crime Against Society,Drug/Narcotic Violations,DRUGS - MARIJUANA (DESCRIBE OFFENSE),611
," -77.1434)""",,,,609
," -76.94)""",,,,607
35A,3512,Crime Against Society,Drug/Narcotic Violations,DRUGS - HEROIN - POSSESS,603
," -77.2664)""",,,,601
11A,9003,Crime Against Person,Forcible Rape,SEX ASSAULT - WITH AN OBJECT,598
," -77.1266)""",,,,598
," -77.1616)""",,,,587
," -77.14)""",,,,585
120,1213,Crime Against Property,Robbery,ROBBERY - GUN,580
," -77.2191)""",,,,575
," -77.1849)""",,,,575
," -77.0543)""",,,,571
," -77.1183)""",,,,569
," -77.129)""",,,,566
," -77.0329)""",,,,563
," -77.0294)""",,,,561
," -77.2077)""",,,,560
," -77.2181)""",,,,558
," -77.2038)""",,,,556
," -77.2079)""",,,,555
," -77.0509)""",,,,554
," -77.185)""",,,,550
90Z,4899,Crime Against Society,All Other Offenses,OBSTRUCT POLICE (DESCRIBE OFFENSE),549
," -77.1506)""",,,,549
," -77.0718)""",,,,541
," -77.2043)""",,,,539
," -77.1931)""",,,,536
," -77.095)""",,,,534
250,2589,Crime Against Property,Counterfeiting/Forgery,FORGERY (DESCRIBE OFFENSE),534
," -77.0019)""",,,,532
23D,2310,Crime Against Property,Theft from Building,LARCENY - FROM MALLS,530
90Z,9104,Crime Against Society,All Other Offenses,FIRE (NOT ARSON),530
," -77.2636)""",,,,529
13C,1316,Crime Against Person,Intimidation,ASSAULT - INTIMIDATION (INCLUDES STALKING),528
," -77.2602)""",,,,524
," -77.2047)""",,,,524
120,1204,Crime Against Property,Robbery,ROBBERY - STREET-GUN,523
," -77.1172)""",,,,518
," -77.0973)""",,,,516
," -77.2616)""",,,,512
," -77.109)""",,,,512
," -77.1662)""",,,,511
," -77.2017)""",,,,511
," -77.1976)""",,,,510
," -77.1182)""",,,,509
," -77.1264)""",,,,509
," -77.2003)""",,,,507
," -77.0724)""",,,,505
," -77.2757)""",,,,505
," -77.0136)""",,,,504
," -77.1253)""",,,,500
," -77.0246)""",,,,499
," -77.2208)""",,,,498
," -77.0039)""",,,,496
120,1214,Crime Against Property,Robbery,ROBBERY - KNIFE,495
," -77.0102)""",,,,491
," -76.9768)""",,,,487
," -77.0036)""",,,,486
," -77.0691)""",,,,484
," -77.1971)""",,,,483
," -77.0461)""",,,,483
90Z,5499,Crime Against Society,All Other Offenses,TRAFFIC OFFENSES (DESCRIBE OFFENSE),483
," -77.1874)""",,,,480
90C,3615,Crime Against Society,Disorderly Conduct,SEX OFFENSE - INDECENT EXPOSURE TO ADULT,480
," -77.2695)""",,,,479
," -77.1956)""",,,,479
," -77.0984)""",,,,478
," -77.0597)""",,,,475
," -77.0966)""",,,,472
26E,2608,Crime Against Property,Wire Fraud,FRAUD BY WIRE,471
," -77.119)""",,,,471
," -77.1924)""",,,,470
," -77.0694)""",,,,469
," -76.9893)""",,,,468
," -77.1985)""",,,,467
," -77.2118)""",,,,465
," -77.0488)""",,,,465
," -77.212)""",,,,465
," -77.0465)""",,,,463
," -77.2036)""",,,,462
," -77.0115)""",,,,459
13A,1306,Crime Against Person,Aggravated Assault,ASSAULT - AGGRAVATED - NON-FAMILY-STRONG-ARM,457
," -77.091)""",,,,456
," -77.0306)""",,,,454
," -76.9939)""",,,,452
