offense_desc,offense,nature_of_call,geocodescore,source_file_uri
PC 42.07 Harassment,90Z,HARASS,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2007/00000000.parquet
PC 30.02(C)(2) Burglary Habitation,220,BURG RES,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2007/00000000.parquet
PC 32.51 Fraud Use Poss of ID Info,26F,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2007/00000000.parquet
PC 32.51(C)(1) Fraud Use Poss of ID Info<5 items,26F,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2007/00000000.parquet
PC 28.03(B)(4) Criminal Mischief >=$1500<$20K 290 ,290,GRAFFITI,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2007/00000000.parquet
PC 31.03 - Others Theft - Others,23H,THEFT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2007/00000000.parquet
PC 32.51(C)(1) Fraud Use Poss of ID Info<5 items,26F,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2007/00000000.parquet
PC 32.51(C)(1) Fraud Use Poss of ID Info<5 items,26F,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2007/00000000.parquet
PC 32.51(C)(1) Fraud Use Poss of ID Info<5 items,26F,IDENTIFY (NON REPORTABLE),100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2007/00000000.parquet
PC 31.03 - Others Theft - Others 23H ALL OTHER LAR,23H,THEFT,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2007/00000000.parquet
PC 30.02(C)(2) Burglary Habitation,220,BURG RES,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2007/00000000.parquet
PC 32.51 Fraud Use Poss of ID Info,26F,FRAUD,100,s3://crimenet-data/raw_files/landing/fort_worth/occurrence_year=2007/00000000.parquet
