offense,source_file_uri
THEFT F/AUTO,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00028.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00017.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00017.parquet
HOMICIDE,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2024/part-00019.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00018.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00006.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00031.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00019.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00032.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00009.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00021.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00010.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00022.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00011.parquet
THEFT F/AUTO,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00000.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00024.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00000.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00001.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00001.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00001.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00027.parquet
BURGLARY,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00028.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00016.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00028.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00017.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00030.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00018.parquet
THEFT/OTHER,s3://crimenet-data/raw_files/landing/washington_dc/source_dataset=dc_crime_incidents/occurrence_year=2019/part-00031.parquet
