stat_desc,row_count
"FELONIES, MISCELLANEOUS: Child Stealing",185
"ROBBERY, STRONG-ARM: Bank",176
CHILD PORNOGRAPHY,162
"FELONIES, MISCELLANEOUS: Conspiracy",155
"ROBBERY, WEAPON: Bank",150
"ASSAULT, AGGRAVATED: ADW, PEACE OFFICER - GUN",150
OFFENSES AGAINST FAMILY: Abandonment,140
LIQUOR LAWS: Sell Liquor To Minor,136
LOUD PARTY-WARNING NOTICE ISSUED/RPT TAKEN,135
LIQUOR LAWS: Drinking In Vehicle,134
"ARSON: Storage (Barns, Garages, Warehouses, Etc)",130
GRAND THEFT: From Coin Operated Machine,128
VEHICLE BURGLARY: Attempt Other Vehicle,126
BOAT BURGLARY: Boat Burglary,120
"ARSON: Other Mobile Property (Trailer, Boat, Airplane, Motor Home)",117
"GRAND THEFT VEHICLE (GTA): Motorcycle, Attempt",114
LIQUOR LAWS: Storage Of Open Container,110
ARSON: All Other Structures (Bldg Under Construction),107
WORTHLESS DOCUMENTS/FORGERY: NSF/Account Closed/Checks-$200 or Less,107
FEDERAL OFFENSES WITHOUT MONEY: Tampering With Mail,105
SEX FELONIES: Pimping,104
DRUNK DRIVING - VEHICLE/BOAT:  Marijuana,99
"THEFT, PETTY: Boat",98
HAZARDOUS MATERIALS: Illegal Dumping Of Hazardous Material,96
"ASSAULT, AGGRAVATED: ADW, PEACE OFFICER - KNIFE",93
"MISDEMEANORS, MISCELLANEOUS: Contributing To Delinquency",93
"FELONIES, MISCELLANEOUS: Unlawful Possession Explosives",88
"FELONIES, MISCELLANEOUS: Unlawful Use Explosives",81
GAMBLING: Bookmaking,76
ARSON: Industrial/Manufacturing,68
"ATTEMPT FORCIBLE RAPE, FEMALE UNDER 18",68
ORAL COPULATION,66
"MISDEMEANORS, MISCELLANEOUS: Fish And Game Violation",60
UNLAWFUL POSSESSION OF A WIRELESS DEVICE IN A CUSTODY FACILITY,55
OFFENSES AGAINST FAMILY: Failure To Provide,54
VEHICLE AND BOATING LAWS: Juvenile Zero Tolerance,42
DISORDERLY CONDUCT: Unlawful Assembly/Fail To Disperse,37
MISCELLANEOUS: Hate Crime (Race),36
SEX FELONIES: Sodomy,34
EXPLIOTATION OF CHILD VIA INTERNET (MISD),33
DISORDERLY CONDUCT: Riot Or Rout,33
DRUNK DRIVING - VEHICLE/BOAT:  Alcohol and Marijuana,33
WARRANTS: Traffic,32
FEDERAL OFFENSES WITHOUT MONEY: All Other Fed Offenses Without Money,27
FEDERAL OFFENSES WITHOUT MONEY: Counterfeiting Federal Documents,27
"MISDEMEANORS, MISCELLANEOUS: Alarm Violations",26
IMMIGRATION: False Documents-Use to Conceal True Citizenship-Felony,25
WEAPON LAWS: WEAPONS OF MASS DESTRUCTION: Felony ,22
HAZARDOUS MATERIALS: Accidental Discharge,21
"MISDEMEANORS, MISC: Manslaughter, Non-Neg Driving (192(c)(2) P.C.)",20
GRAND THEFT VEHICLE (GTA): Bus,19
"FELONIES, MISCELLANEOUS: Bribery",18
"ATTEMPT RAPE BY FORCE, MALE UNDER 18",18
"FELONIES, MISC: Manslaughter, Negligent Driving (192(c)(1) P.C.)",16
MISCELLANEOUS: Hate Crime (Religion),15
"ATTEMPT RAPE BY FORCE, MALE 18 AND OVER",13
DRUNK DRIVING - VEHICLE/BOAT:  Alcohol/Marijuana (Injury/death),13
"ROBBERY, WEAPON: Cargo Hijacking",12
ATTEMPT LOCKER BURGLARY,12
SEX MISDEMEANORS: Keep/Live House Of Ill Fame,12
DEFRAUDING: Welfare Fraud (Fel Or Misd),11
LOUD PARTY - VERBAL WARNING ISSUED,10
TRANSIT INFRACTION: Fare-Related,9
"FELONIES, MISCELLANEOUS: Solicit To Commit Murder/Rape/Certain Fel",8
MISCELLANEOUS: Hate Crime (Sexual Orientation),7
"FELONIES, MISCELLANEOUS: Bigamy",6
"CRIMINAL HOMICIDE: MANSLAUGHTER, VOLUNTARY/INVOLUNTARY",5
LIQUOR LAWS: Possession/Use/Furnish Minor False Evidence Of Age,5
MISCELLANEOUS: Hate Crime (Ethnicity),5
JUVENILE TRANSIT INFRACTION: Fare-Related,5
"FELONIES, MISCELLANEOUS: Aid/Abetting Escape",4
DRUNK: Marijuana,3
FRAUD: Obtaining Trade Secrets By Fraud,3
SEX FELONIES: Incest,3
"FEDERAL OFFENSES WITHOUT MONEY: Desertion, A.W.O.L.",3
"IMMIGRATION: False Docs-Manufac/Sale,Conceal True Citizenship,Felony",2
"ROBBERY, STRONG-ARM: Cargo Hijacking",2
FEDERAL OFFENSES WITHOUT MONEY: Immigration Laws - Illegal Entry,2
LIQUOR LAWS: Minor On Premises/Employ Minor On Premises,2
FEDERAL OFFENSES WITH MONEY: Mail Fraud,2
AIRCRAFT BURGLARY: Aircraft Burglary,1
DEPUTY INVOLVED SHOOTING/SUSPECT DEAD,1
"IMMIGRATION: False Docs-Gov't-Manufac/Sale,Conceal True Citizen,Misd",1
"FELONIES, MISCELLANEOUS: Lynching",1
"FELONIES, MISCELLANEOUS: Take Person from Custody of PO",1
BOAT BURGLARY: Attempt Boat Burglary,1
