report_type_description,incident_description,incident_subcategory,report_type_code,incident_category,incident_code,row_count
Initial Supplement,Carjacking with a Gun,Robbery - Carjacking,IS,Robbery,03081,148
Initial,"Dissuading Witness, Victim",Other,II,Other Miscellaneous,26063,148
Initial,"Obstructions On Streets, Sidewalks",Other,II,Other Offenses,30080,148
Initial Supplement,"Death Report, Cause Unknown",Other,IS,Other,61030,148
Initial,"Assault, Aggravated, On Police Officer, W/ Force",Aggravated Assault,II,Assault,04074,147
Initial Supplement,"Heroin, Possession For Sale",Drug Violation,IS,Drug Offense,16110,147
Coplogic Initial,"Theft, Lost Property, Petty",Larceny Theft - Other,II,Larceny Theft,27090,147
Initial,Violation of Emergency Protective Order,Other,II,Offences Against The Family And Children,15160,146
Initial,"Burglary Tools, Possession Of w/prior",Other,II,Other Miscellaneous,27131,145
Initial,"Heroin, Sales",Drug Violation,II,Drug Offense,16120,144
Initial,Cryptocurrency Related Crime (secondary code only),,II,,15410,144
Initial,"Robbery, Chain Store, W/ Knife",Robbery - Commercial,II,Robbery,03042,144
Initial Supplement,"Checks or Legal Instruments, Uttering Forged",Forgery And Counterfeiting,IS,Forgery And Counterfeiting,09016,142
Initial,"Firearm, Discharging at Occupied Bldg, Vehicle, or Aircraft",Aggravated Assault,II,Assault,04082,141
Initial,Park Code Violation (general),Other,II,Other Offenses,30210,141
Initial,"Theft, Grand, of Firearm",Larceny Theft - Other,II,Larceny Theft,06386,141
Initial Supplement,"Theft, Bicycle, >$950",Larceny Theft - Bicycle,IS,Larceny Theft,06314,140
Initial,"Disturbing The Peace, Swearing",Disorderly Conduct,II,Disorderly Conduct,19028,140
Initial,"Theft, Petty, with Prior Conviction",Larceny Theft - Other,II,Larceny Theft,06365,139
Initial,"Burglary, Safe,  Store",Burglary - Commercial,II,Burglary,05251,139
Initial,"Weapon, Tear Gas, Possession by Prohibited Persons",Weapons Offense,II,Weapons Carrying Etc,12130,138
Initial Supplement,"Vehicle, Recovered, Motorcycle",Recovered Vehicle,IS,Recovered Vehicle,07043,137
Initial,Parole Search,Other,II,Warrant,62070,136
Initial Supplement,"Theft, From Locked Vehicle, $50-$200",Larceny - From Vehicle,IS,Larceny Theft,06242,136
Initial,"Arson, Commercial Building",Arson,II,Arson,26032,135
Initial,"Embezzlement, Grand Theft",Embezzlement,II,Embezzlement,10015,134
Initial,Carjacking with a Gun,Robbery - Carjacking,II,Robbery,03081,131
Initial Supplement,"Warrant Arrest, Enroute To US Marshall",Warrant,IS,Warrant,62010,130
Initial,Carjacking with Bodily Force,Robbery - Carjacking,II,Robbery,03084,130
Initial,Embezzlement (general),Embezzlement,II,Embezzlement,10090,128
Initial Supplement,"Weapon, Carrying Concealed",Weapons Offense,IS,Weapons Offense,12015,128
Initial,"Theft, From Unlocked Vehicle, Att.",Larceny - From Vehicle,II,Larceny Theft,06220,128
Vehicle Initial,Carjacking with Bodily Force,Robbery - Carjacking,VI,Robbery,03084,127
Initial Supplement,"Assault, Att. Homicide, W/ Knife",Aggravated Assault,IS,Assault,04022,125
Initial,"Weapon, Carrying Concealed with Felony or Narcotics Conviction",Weapons Offense,II,Weapons Offense,12010,125
Initial Supplement,"Theft, From Building, $50-$200",Larceny Theft - From Building,IS,Larceny Theft,06302,123
Initial,"Disturbing The Peace, Commotion",Disorderly Conduct,II,Disorderly Conduct,19020,123
Initial Supplement,"Theft, Other Property, $200-$950",Larceny Theft - Other,IS,Larceny Theft,06373,122
Initial,Suspicious Package,Suspicious Package,II,Suspicious,12008,122
Vehicle Supplement,"Vehicle, Stolen, Truck",Motor Vehicle Theft,VS,Motor Vehicle Theft,07025,121
Initial,"School Property, Disturbance on",Disorderly Conduct,II,Disorderly Conduct,19081,120
Initial,Impersonating A Police Officer,Other,II,Other Miscellaneous,27070,120
Initial,"Vehicle, Throwing Substance At",Other,II,Other Miscellaneous,65070,118
Initial Supplement,Carjacking with Bodily Force,Robbery - Carjacking,IS,Robbery,03084,118
Initial,"Theft of Other Property, Att.",Larceny Theft - Other,II,Larceny Theft,06370,117
Initial,"Robbery, Residence, W/ Gun",Robbery - Commercial,II,Robbery,03051,116
Initial,"Robbery, Att., Street or Public Place, W/ Gun",Robbery - Street,II,Robbery,03411,116
Initial Supplement,"Dog, Bite or Attack",Other,IS,Non-Criminal,64010,115
Initial Supplement,"Ammunition, Poss. By Prohibited Person",Weapons Offense,IS,Weapons Carrying Etc,12173,115
Initial,"Theft, Vehicle Strip, $50-$200",Larceny - Auto Parts,II,Larceny Theft,06232,112
Initial Supplement,"Controlled Substance, Possession For Sale",Drug Violation,IS,Drug Offense,16662,112
Initial,"Identification Card or Drivers License, Falsify or Display",Forgery And Counterfeiting,II,Forgery And Counterfeiting,09120,112
Initial Supplement,Hate Crime (secondary only),Other,IS,Offences Against The Family And Children,15300,111
Initial Supplement,Counterfeit Money or Coins,Forgery And Counterfeiting,IS,Forgery And Counterfeiting,10149,111
Initial Supplement,"Firearm, Discharging in Grossly Negligent Manner",Aggravated Assault,IS,Assault,04083,111
Vehicle Supplement,"Vehicle, Recovered, Mobile Home or House Trailer",Recovered Vehicle,VS,Recovered Vehicle,07044,110
Initial,"Resisting Peace Officer, causing Their Serious Injury or Death",Intimidation,II,Other Miscellaneous,27172,110
Initial,"Theft, Bicycle, $50-$200",Larceny Theft - Bicycle,II,Larceny Theft,06312,110
Initial,"Fire, Unlawfully Causing",Arson,II,Arson,26039,109
