report_type_description,incident_description,incident_subcategory,report_type_code,incident_category,incident_code,row_count
Initial Supplement,"Vehicle, Impounded",Vehicle Impounded,IS,Vehicle Impounded,07053,207
Initial Supplement,"Warrant Arrest, Enroute To Adult Authority",Warrant,IS,Warrant,62060,206
Initial,"Assault, Aggravated, On Police Off., W/ Other Weapon",Aggravated Assault,II,Assault,04073,206
Initial Supplement,"Driving, License Suspended or Revoked",Other,IS,Other Miscellaneous,65016,204
Initial,Driving While Under The Influence Of Drugs,Liquor Law Violation,II,Other Miscellaneous,65060,203
Initial,Bomb Threat or False Report of Bomb,Other,II,Other Miscellaneous,26105,202
Initial Supplement,Courtesy Report,Courtesy Report,IS,Courtesy Report,68030,201
Initial Supplement,Shooting into Inhabited Dwelling or Occupied Vehicle,Aggravated Assault,IS,Assault,04081,200
Initial,Case Closure,Case Closure,II,Case Closure,75030,198
Vehicle Initial,"Vehicle, Recovered, Truck",Recovered Vehicle,VI,Recovered Vehicle,07045,198
Initial,"Alcohol, Consuming In Public View",Other,II,Other Offenses,30155,196
Initial,"Vehicle, Recovered, Stolen outside SF",Motor Vehicle Theft,II,Motor Vehicle Theft,07055,195
Initial Supplement,"Vehicle, Recovered, Stolen outside SF",Motor Vehicle Theft,IS,Motor Vehicle Theft,07055,194
Initial Supplement,"Robbery, Street or Public Place, W/ Gun",Robbery - Street,IS,Robbery,03011,190
Initial,"Theft, From Building, Att.",Larceny Theft - From Building,II,Larceny Theft,06300,189
Initial Supplement,Driving While Under The Influence Of Drugs,Liquor Law Violation,IS,Other Miscellaneous,65060,189
Initial Supplement,"Driving While Under The Influence Of Alcohol, w/Injury",Liquor Law Violation,IS,Other Miscellaneous,65056,187
Initial,"Access Card, Possession of Lost or Stolen, with Intent to Use, Transfer, or Sell",Fraud,II,Fraud,09310,183
Vehicle Initial,Carjacking with a Gun,Robbery - Carjacking,VI,Robbery,03081,182
Initial,"Theft, False Pretenses, Misd.",Fraud,II,Fraud,10120,181
Initial Supplement,"Assault, Aggravated, W/ Gun",Aggravated Assault,IS,Assault,04092,181
Initial,"Computer System, Accessing, Copying, or Damaging",Fraud,II,Fraud,09264,177
Initial,False Imprisonment,Kidnapping,II,Other Miscellaneous,26142,177
Initial Supplement,"Parole Violation, Adult",Other,IS,Other Miscellaneous,26150,175
Initial,State Code Misdemeanor (general),Other,II,Other Miscellaneous,27300,172
Initial,"Traffic Collision, Hit & Run, Injury",Traffic Collision - Hit & Run,II,Traffic Collision,68069,172
Initial Supplement,"Theft, False Pretenses, Felony",Fraud,IS,Fraud,10125,170
Initial,"Robbery, Att., W/ Knife",Robbery - Other,II,Robbery,03472,169
Initial,"Extortion, Attempted",Extortion-Blackmail,II,Other Miscellaneous,26040,168
Initial Supplement,Arson,Arson,IS,Arson,26030,167
Initial,"Burglary, Flat, Forcible Entry",Burglary - Residential,II,Burglary,05021,166
Initial Supplement,"Theft, From Unlocked Vehicle, >$950",Larceny - From Vehicle,IS,Larceny Theft,06224,166
Initial Supplement,"Theft, Shoplifting, $50-$200",Larceny Theft - Shoplifting,IS,Larceny Theft,06362,164
Initial,"Assault, Att. Homicide, W/ Knife",Aggravated Assault,II,Assault,04022,162
Initial,"Malicious Mischief, Breaking Windows With BB Gun",Vandalism,II,Malicious Mischief,28110,161
Initial Supplement,"Opiates, Possession For Sale",Drug Violation,IS,Drug Offense,16220,161
Initial,"Driving, Speeding",Other,II,Other Miscellaneous,65030,160
Initial Supplement,"Vehicle, Recovered, Truck",Recovered Vehicle,IS,Recovered Vehicle,07045,160
Initial Supplement,False Imprisonment,Simple Assault,IS,Assault,04170,160
Initial,False Report of Emergency,Other,II,Other Miscellaneous,27068,159
Vehicle Initial,"Vehicle, Stolen, Mobile Home or House Trailer",Motor Vehicle Theft,VI,Motor Vehicle Theft,07024,159
Initial,"Fire Alarm, False",Other,II,Malicious Mischief,28080,157
Initial,Theft of Animals (general),Larceny Theft - Other,II,Larceny Theft,06400,157
Initial,"Vehicle, Stolen, Other Vehicle",Motor Vehicle Theft,II,Motor Vehicle Theft,07026,157
Initial,"Public Health Order Violation, Notification",,II,,27400,156
Initial,"Robbery, Att., W/ Other Weapon",Robbery - Other,II,Robbery,03473,156
Initial,"Sex Offender Failure to Register, Annual Violation",,II,,14021,154
Initial,"Air Gun, Possession",Other,II,Other Offenses,30140,153
Initial,Property for Identification,Non-Criminal,II,Non-Criminal,73000,153
Initial,"Injuring Phone, Cable TV, or Other Line",Other,II,Other Miscellaneous,26120,151
Vehicle Supplement,"Vehicle, Stolen, Motorcycle",Motor Vehicle Theft,VS,Motor Vehicle Theft,07023,150
