mapping_version,source_city,source_file,source_offense_code,source_offense_category,source_offense_description,source_auxiliary,source_severity,canonical_family_code,canonical_offense_family,canonical_subtype_code,canonical_offense_subtype,canonical_domain,canonical_target,is_criminal_event,is_violent,is_property,mapping_confidence,review_required,mapping_note,mapping_action,include_in_model,decision_basis,supporting_incident_rows,supporting_source_mappings,supporting_city_count
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,90D,,PC 49.09(B-2) Intox Manslaughtr/death po/ff/ems,,,F19,traffic_offense,F19.01,dui,traffic,society,true,false,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,90D,,PC 49.09(B-4) Intox Asslt Cause brain inj veg st 9,,,F19,traffic_offense,F19.01,dui,traffic,society,true,false,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,90D,,PC 49.09(b) DWI W/CHILD UNDER 15 YOA 3RD OR MORE I,,,F19,traffic_offense,F19.01,dui,traffic,society,true,false,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,90Z,,PC 550.025 (A) Duty Strike Fix/Hwy Landscapt>=200,,,F19,traffic_offense,F19.03,hit_and_run,traffic,society,true,false,false,high,false,"Resolved in v1.2 as hit_and_run; cluster supports 3,505 incident rows across 8 source mappings.",map,true,new_substantial_cluster,3505,8,2
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,90Z,,PC 550.025 (A) Duty Strike Fix/Hwy Landscapt>=200 ,,,F19,traffic_offense,F19.03,hit_and_run,traffic,society,true,false,false,high,false,"Resolved in v1.2 as hit_and_run; cluster supports 3,505 incident rows across 8 source mappings.",map,true,new_substantial_cluster,3505,8,2
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,90Z,,PC 71.02  Engaging in Organized Criminal Activity,,,F20,other_criminal,F20.07,conspiracy_organized_crime,other,unknown,true,false,false,high,false,"Resolved in v1.2 as conspiracy_organized_crime; cluster supports 4,625 incident rows across 24 source mappings.",map,true,new_substantial_cluster,4625,24,4
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,90Z,,PC 71.02  Engaging in Organized Criminal Activity ,,,F20,other_criminal,F20.07,conspiracy_organized_crime,other,unknown,true,false,false,high,false,"Resolved in v1.2 as conspiracy_organized_crime; cluster supports 4,625 incident rows across 24 source mappings.",map,true,new_substantial_cluster,4625,24,4
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,23H,,PC 71.02 A Theft EOC/Theft,,,F08,larceny_theft,F08.01,other_larceny_theft,property,property,true,false,true,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,23H,,PC 71.02 A Theft EOC/Theft 23H ALL OTHER LARCENY 7,,,F08,larceny_theft,F08.01,other_larceny_theft,property,property,true,false,true,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,13A,,PC 71.02 AGG ASSAULT EOC/Aggravated Assault,,,F04,assault,F04.01,aggravated_assault,violent,person,true,true,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,13A,,PC 71.02 AGG ASSAULT EOC/Aggravated Assault 13A AG,,,F04,assault,F04.01,aggravated_assault,violent,person,true,true,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,90Z,,PC 71.02 AGG ASSAULT EOC/Aggravated Assault 90Z AL,,,F04,assault,F04.01,aggravated_assault,violent,person,true,true,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,13B,,PC 71.02 Assault(class A) EOC/Assault (Class A Mis,,,F04,assault,F04.02,simple_assault,violent,person,true,true,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,23F,,PC 71.02 BMV EOC/Burglary Motor Veh,,,F08,larceny_theft,F08.06,theft_from_vehicle,property,property,true,false,true,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,23F,,PC 71.02 BMV EOC/Burglary Motor Veh 23F THEFT FROM,,,F08,larceny_theft,F08.06,theft_from_vehicle,property,property,true,false,true,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,90Z,,PC 71.02 BMV EOC/Burglary Motor Veh 90Z ALL OTHER ,,,F07,burglary,F07.01,burglary,property,property,true,false,true,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,220,,PC 71.02 Burglary EOC/Burglary,,,F07,burglary,F07.01,burglary,property,property,true,false,true,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,220,,PC 71.02 Burglary EOC/Burglary 220 BURGLARY/BREAKI,,,F07,burglary,F07.01,burglary,property,property,true,false,true,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,09A,,PC 71.02 Capital Murder EOC/Capital Murder 09A MUR,,,F01,homicide,F01.03,murder_homicide,violent,person,true,true,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,13A,,PC 71.02 Deadly Conduct EOC/Deadly Conduct,,,F04,assault,F04.01,aggravated_assault,violent,person,true,true,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,13A,,PC 71.02 Deadly Conduct EOC/Deadly Conduct 13A AGG,,,F04,assault,F04.01,aggravated_assault,violent,person,true,true,false,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,250,,PC 71.02 Forgery EOC/Forgery,,,F12,fraud_financial,F12.05,forgery_counterfeiting,property,property,true,false,true,high,false,,map,true,existing_v1_1_mapping,,,
crime_canonical_v1_4,fort_worth,fort_worth_crime_types.csv,250,,PC 71.02 Forgery EOC/Forgery 250 FORGERY/COUNTERFE,,,F12,fraud_financial,F12.05,forgery_counterfeiting,property,property,true,false,true,high,false,,map,true,existing_v1_1_mapping,,,
