part_category,category,stat_desc,stat,row_count
1,CRIMINAL HOMICIDE,"CRIMINAL HOMICIDE: MANSLAUGHTER, VOLUNTARY/INVOLUNTARY",012,5
2,MISDEMEANORS MISCELLANEOUS,JUVENILE TRANSIT INFRACTION: Fare-Related,612,5
2,LIQUOR LAWS,LIQUOR LAWS: Possession/Use/Furnish Minor False Evidence Of Age,192,5
2,FELONIES MISCELLANEOUS,"FELONIES, MISCELLANEOUS: Aid/Abetting Escape",335,4
2,FRAUD AND NSF CHECKS,FRAUD: Obtaining Trade Secrets By Fraud,116,3
2,SEX OFFENSES FELONIES,SEX FELONIES: Incest,123,3
2,FEDERAL OFFENSES W/O MONEY,"FEDERAL OFFENSES WITHOUT MONEY: Desertion, A.W.O.L.",303,3
2,DRUNK / ALCOHOL / DRUGS,DRUNK: Marijuana,203,3
1,ROBBERY,"ROBBERY, STRONG-ARM: Cargo Hijacking",049,2
2,LIQUOR LAWS,LIQUOR LAWS: Minor On Premises/Employ Minor On Premises,194,2
2,FEDERAL OFFENSES W/O MONEY,FEDERAL OFFENSES WITHOUT MONEY: Immigration Laws - Illegal Entry,301,2
2,FEDERAL OFFENSES WITH MONEY,FEDERAL OFFENSES WITH MONEY: Mail Fraud,312,2
2,FELONIES MISCELLANEOUS,"IMMIGRATION: False Docs-Manufac/Sale,Conceal True Citizenship,Felony",431,2
2,MISDEMEANORS MISCELLANEOUS,"IMMIGRATION: False Docs-Gov't-Manufac/Sale,Conceal True Citizen,Misd",436,1
2,FELONIES MISCELLANEOUS,"FELONIES, MISCELLANEOUS: Lynching",332,1
1,CRIMINAL HOMICIDE,DEPUTY INVOLVED SHOOTING/SUSPECT DEAD,013,1
1,LARCENY THEFT,BOAT BURGLARY: Attempt Boat Burglary,361,1
2,FELONIES MISCELLANEOUS,"FELONIES, MISCELLANEOUS: Take Person from Custody of PO",332,1
1,LARCENY THEFT,AIRCRAFT BURGLARY: Aircraft Burglary,370,1
