part_category,category,stat_desc,stat,row_count
1,GRAND THEFT AUTO,GRAND THEFT VEHICLE (GTA): Motorcycle,095,3961
1,ROBBERY,"ROBBERY, STRONG-ARM: Highway, Etc.",041,3865
1,AGGRAVATED ASSAULT,"ASSAULT, AGGRAVATED: ADW, PEACE OFFICER - OTHER DANGEROUS WEAPON",057,3541
2,NON-AGGRAVATED ASSAULTS,"ASSAULT, NON-AGG: Child Assault",149,3396
1,ROBBERY,"ROBBERY, WEAPON: Highway, Etc.",031,3296
2,FRAUD AND NSF CHECKS,IDENTITY THEFT (UTILITIES),118,3288
2,SEX OFFENSES FELONIES,EXPLOITATION OF CHILD VIA INTERNET,122,3205
2,OFFENSES AGAINST FAMILY,OFFENSES AGAINST FAMILY: Elder Abuse,174,3173
1,AGGRAVATED ASSAULT,"ASSAULT, AGGRAVATED: CHILD ASSAULT",059,3118
2,VANDALISM,VANDALISM: Vandalism Jail,262,3000
2,VEHICLE / BOATING LAWS,"VEHICLE AND BOATING LAWS: Hit And Run, Felony (Cause Inj Or Death)",251,2923
1,ARSON,"ARSON: Motor Vehicles (Autos, Trucks, Buses, M/C Etc)",277,2808
1,GRAND THEFT AUTO,"GRAND THEFT VEHICLE (GTA): Truck, Motor Home, Cargo Van, Attempt",094,2805
1,LARCENY THEFT,GRAND THEFT: Bicycles,086,2668
2,SEX OFFENSES MISDEMEANORS,SEX MISDEMEANORS: Indecent Exposure,130,2619
1,FORCIBLE RAPE,"RAPE, FORCIBLE: Rape by Force, Female 18 YRS +",021,2510
1,LARCENY THEFT,VEHICLE BURGLARY: Attempt Auto/Passenger Van Burglary,341,2284
1,GRAND THEFT AUTO,"GRAND THEFT VEHICLE (GTA): Cargo/Vehicle, laden with freight",090,2272
2,NARCOTICS,NARCOTICS: Marijuana Misdemeanors (More Than 1 oz),188,2229
2,RECEIVING STOLEN PROPERTY,RECEIVING STOLEN PROPERTY: Receiving Stolen Property,290,2228
2,VAGRANCY,VAGRANCY: Loitering/Curfew,221,2208
1,BURGLARY,"BURGLARY, RESIDENCE: Day, Attempt",066,2198
2,FRAUD AND NSF CHECKS,"IDENTITY THEFT, ATTEMPT/POSSESSION OF PROFILE INFO",119,2192
2,FORGERY,WORTHLESS DOCUMENTS/FORGERY: Forgery - Credit Cards/Sales Slips,105,2101
2,SEX OFFENSES MISDEMEANORS,"SEX MISDEMEANORS: Prostitution, Solicit/Engage/Seduce Minor Under 18",136,2093
1,BURGLARY,"BURGLARY, RESIDENCE: Night, Attempt",063,2058
1,LARCENY THEFT,GRAND THEFT: Pick Pocket,081,2043
2,SEX OFFENSES FELONIES,SEX FELONIES: All Other Sex Felonies,129,2012
1,ROBBERY,"ROBBERY, WEAPON: Carjacking",038,1993
2,FRAUD AND NSF CHECKS,FRAUD: Fraud By Trick Or Device - Over $400,113,1950
1,AGGRAVATED ASSAULT,"ASSAULT, FELONY: ADW, Peace Officer - Hands, Feet, Fist, Etc.",058,1926
2,FEDERAL OFFENSES WITH MONEY,FEDERAL OFFENSES WITH MONEY: All Other Federal Offenses With Money,316,1859
1,BURGLARY,"BURGLARY, OTHER STRUCTURE: Night, Attempt",073,1855
1,LARCENY THEFT,GRAND THEFT: Purse Snatch,082,1799
2,VAGRANCY,VAGRANCY/QUALITY OF LIFE:Illegal Vending,222,1718
2,FELONIES MISCELLANEOUS,"FELONIES, MISCELLANEOUS: Extortion",324,1709
1,ROBBERY,"ROBBERY, WEAPON: Convenience Store, Fast Food, Restaurant",034,1686
2,FRAUD AND NSF CHECKS,DEFRAUDING: Defrauding Innkeeper (Fel Or Misd),161,1681
2,SEX OFFENSES MISDEMEANORS,SEX MISDEMEANORS: Annoy/Molest Children,134,1647
2,OFFENSES AGAINST FAMILY,OFFENSES AGAINST FAMILY: Child Neglect,172,1592
1,ARSON,ARSON: All Others,279,1587
1,LARCENY THEFT,VEHICLE BURGLARY: Other Vehicle Burglary,344,1549
2,LIQUOR LAWS,LIQUOR LAWS: Possession Open Container (County Or City Park),196,1541
1,FORCIBLE RAPE,"RAPE BY FORCE, FEMALE UNDER 18",023,1459
2,FRAUD AND NSF CHECKS,FRAUD: Fraudulent Credit Applications,111,1451
2,DRUNK DRIVING VEHICLE / BOAT,DRUNK DRIVING - VEHICLE/BOAT: Drugs Only,245,1423
1,LARCENY THEFT,LOCKER BURGLARY,350,1387
1,ROBBERY,"ROBBERY, STRONG-ARM: Convenience Store, Fast Food, Restaurant",044,1383
2,FEDERAL OFFENSES WITH MONEY,FEDERAL OFFENSES WITH MONEY: Theft Of Mail,314,1326
1,ROBBERY,"ROBBERY, STRONG-ARM: Carjacking",048,1301
1,ROBBERY,"ROBBERY, STRONG-ARM: Residence",045,1295
2,FEDERAL OFFENSES WITH MONEY,FEDERAL OFFENSES WITH MONEY: Counterfeiting U.S. Money,315,1142
1,ROBBERY,"ROBBERY, WEAPON: Residence",035,1127
1,CRIMINAL HOMICIDE,CRIMINAL HOMICIDE: Murder,011,1123
2,DRUNK DRIVING VEHICLE / BOAT,"DRUNK DRIVING - VEHICLE/BOAT: Alcohol/Drugs (Injury/Death), Felony",241,1104
2,DISORDERLY CONDUCT,DISORDERLY CONDUCT: Disturbing The Peace/Court Disturbances,212,1029
2,SEX OFFENSES FELONIES,FAILING TO REGISTER AS SEX OFFENDER - FELONY,126,989
1,CRIMINAL HOMICIDE,"HOMICIDE, CRIMINAL / NON-CRIMINAL",011,957
2,SEX OFFENSES FELONIES,SEX FELONIES: Unlawful Sexual Intercourse,121,953
2,OFFENSES AGAINST FAMILY,FIDUCIARY ELDER/DEPENDENT ADULT ABUSE,177,844
