pd_desc,row_count
"CHILD,ALCOHOL SALE TO",664
"IMPRISONMENT 1,UNLAWFUL",662
"ROBBERY,BAR/RESTAURANT",657
"FALSE REPORT 1,FIRE",653
CRIMINAL DISPOSAL FIREARM 1,646
"MISCHIEF, CRIMINAL 3&2, BY FIR",608
SODOMY 3,601
"GAMBLING, DEVICE, POSSESSION",587
"LARCENY,PETIT OF MOTORCYCLE",566
"ROBBERY,GAS STATION",548
"IMPAIRED DRIVING,DRUG",511
CAUSE SPI/KILL ANIMAL,459
"ADM.CODE,UNCLASSIFIED VIOLATIO",457
JOSTLING,454
"ASSEMBLY,UNLAWFUL",452
CHILD ABANDONMENT,451
"MENACING,PEACE OFFICER",446
CUSTODIAL INTERFERENCE 1,443
SALE SCHOOL GROUNDS 4,428
PROMOTING A SEXUAL PERFORMANCE,423
"ROBBERY,PHARMACY",410
"CANNABIS POSSESSION, 2&1",402
"MARIJUANA, SALE 1, 2 & 3",401
"CONTROLLED SUBSTANCE, SALE 4",393
COMPUTER TAMPER/TRESSPASS,372
AGGRAVATED SEXUAL ASBUSE,362
"LARCENY,PETIT OF AUTO",360
EXPOSURE OF A PERSON,353
"LARCENY,GRAND FROM PIER, UNATTENDED",340
COMPUTER UNAUTH. USE/TAMPER,335
RIOT 2/INCITING,330
KIDNAPPING 2,328
"ALCOHOLIC BEVERAGES,PUBLIC CON",326
IMITATION PISTOL/AIR RIFLE,314
POSSESSION HYPODERMIC INSTRUME,286
OBSCENITY 1,284
SUPP. ACT TERR 2ND,260
"ESCAPE 2,1",258
COERCION 2,257
ASSAULT TRAFFIC AGENT,256
COURSE OF SEXUAL CONDUCT AGAIN,253
FALSE REPORT BOMB,242
ESCAPE 3,236
CANNABIS POSSESSION,234
LEAVING THE SCENE OF AN ACCIDENT (SPI),223
"FIREWORKS, SALE",220
"BRIBERY, POLICE OFFICER",213
"ROBBERY, PAYROLL",212
SODOMY 2,211
"FORGERY,PRESCRIPTION",209
"LARCENY,PETIT FROM COIN MACHIN",207
"HOMICIDE,NEGLIGENT,UNCLASSIFIE",192
"SEXUAL MISCONDUCT,DEVIATE",192
VEHICULAR ASSAULT (INTOX DRIVE,191
SEX TRAFFICKING,189
"CANNABIS POSSESSION, 3",187
ASSAULT SCHOOL SAFETY AGENT,186
"PUBLIC HEALTH LAW,UNCLASSIFIED",185
