incident_description,row_count
"Robbery, Chain Store, W/ Other Weapon",273
"Opiates, Sale",267
"Animal, Cruelty to",262
"Theft, Vehicle Strip, Attempted",255
"Checks, Money Orders, Completed, Fraudulent Possession",253
Evading a Police Vehicle or Bicycle,247
Property for Identification,240
"Suspicious Occurrence, possible Shots Fired",239
"License Plate, Lost",235
"Firearm, Discharging at Occupied Bldg, Vehicle, or Aircraft",230
"Computer System, Accessing, Copying, or Damaging",225
Bomb Threat or False Report of Bomb,218
"Access Card, Possession of Lost or Stolen, with Intent to Use, Transfer, or Sell",217
"Alcohol, Consuming In Public View",212
"Assault, Aggravated, On Police Officer, W/ Force",204
Theft of Animals (general),201
"Theft, Petty, with Prior Conviction",197
"Theft, Grand, of Firearm",197
"Theft, From Building, Att.",197
"Burglary, Flat, Forcible Entry",192
"Robbery, Att., W/ Knife",191
"Theft, False Pretenses, Misd.",190
State Code Misdemeanor (general),189
"Embezzlement, Grand Theft",180
"Extortion, Attempted",180
"Robbery, Comml. Establ., W/ Gun",179
"Dissuading Witness, Victim",177
"Sex Offender Failure to Register, Annual Violation",176
Embezzlement (general),176
"Robbery, Residence, W/ Gun",174
"Driving, Speeding",173
Violation of Emergency Protective Order,173
"Burglary Tools, Possession Of w/prior",173
"Robbery, Att., W/ Other Weapon",172
False Report of Emergency,170
"Fire Alarm, False",169
"Vehicle, Stolen, Mobile Home or House Trailer",168
"Malicious Mischief, Breaking Windows With BB Gun",168
"Burglary, Safe,  Store",165
Cryptocurrency Related Crime (secondary code only),164
"Robbery, Chain Store, W/ Knife",164
"Arson, Commercial Building",163
"Injuring Phone, Cable TV, or Other Line",163
Parole Search,162
"Air Gun, Possession",162
"Weapon, Tear Gas, Possession by Prohibited Persons",161
"Public Health Order Violation, Notification",161
Park Code Violation (general),159
"Robbery, Att., Street or Public Place, W/ Gun",157
"Obstructions On Streets, Sidewalks",155
"Heroin, Sales",154
"Weapon, Carrying Concealed with Felony or Narcotics Conviction",153
"Resisting Peace Officer, causing Their Serious Injury or Death",148
"Disturbing The Peace, Swearing",147
"Weapon, Assault, Possession, Manufacture, or Sale",146
"Vehicle, Seizure Order Service",145
"Firearm, Carrying Loaded with Intent to Commit Felony",142
"Theft, Bicycle, $50-$200",142
"Flammable or Explosive Device, Possession",141
"Identification Card or Drivers License, Falsify or Display",138
"Access Card or Signature, Forgery of",135
Suspicious Package,134
"Firearm, Discharging At An Inhabited Dwelling",132
"Vehicle, Recovered, Mobile Home or House Trailer",131
"Theft, From Unlocked Vehicle, Att.",131
Impersonating A Police Officer,129
"Disturbing The Peace, Commotion",126
"Robbery, Residence, W/ Force",126
"Vehicle, Rental, Failure to Return",125
"School Property, Disturbance on",124
Human Trafficking (A)-Commercial Sex Acts,123
"Burglary, Warehouse, Unlawful Entry",121
"Vehicle, Throwing Substance At",121
"Arson, Attempted",119
"Fire, Unlawfully Causing",118
"Theft of Other Property, Att.",118
Vandalism or Graffiti on or within 100 ft of Highway,118
"Counterfeit Coins Or Notes, Possessing or Receiving",116
"Assault, Att. Homicide, W/ Other Weapon",116
Damage To Mail Box,113
"Theft, Vehicle Strip, $50-$200",113
"Robbery, Chain Store, W/ Gun",111
"Burglary, Warehouse, Att. Forcible Entry",108
"Checks, Making or Uttering with Insufficient Funds",108
"Robbery, Att., Chain Store, W/ Force",108
"Manslaughter, Vehicular",106
"Theft, Trick & Device, Misd.",106
"Burglary, Apt Under Constr., Forcible Entry",105
"Robbery, Comml. Establ. W/ Weapon",103
"Hallucinogenic,  Possession For Sale",103
"Auto, Grand Theft of",102
Firearm with Altered Identification,98
"Controlled Substance Violation, Loitering for",96
"Theft, Bicycle, Att.",95
"Burglary, Apt Under Constr., Unlawful Entry",95
"False Claims, Presenting to Government",92
Federal Law Violation (general),89
Suicide By Strangulation/Hanging,89
"Sex Offender Failure to Register, Transient Violation",89
"Robbery, Comml. Establ. W/ A Knife",89
"Robbery, Att., Comm. Establ., W/ Force",89
"Burglary, Safe, Other",88
"Weapon, Deadly, Carrying with Intent to Commit Assault",88
Carjacking with a Dangerous Weapon,87
"Suicide, Attempted",86
"Burglary, Flat, Att. Forcible Entry",83
Peddling Without A License,81
Loitering Without Lawful Business With Owner or Occupant,81
"Aided Case, Sick Person",80
Kidnapping during Robbery,80
"Robbery, Att., Street or Public Place, W/ Other Weapon",79
Theft of Utility Services,78
"Weapon, Deadly, Possession W/ Intent To Assault",78
"Embezzlement, Petty Theft By Employee",77
"Burglary, Vehicle, Att. (Arrest made)",77
"Robbery,  ATM, Force.",77
"Alcohol, License Required To Sell",76
Defrauding Gas Station/Taxi Driver,76
"Robbery, Att., Street or Public Place, W/ Knife",75
"Hallucinogenic, Sale",74
"Rape, Forcible, W/ Force",74
"Fireworks, Exploding",74
"Methadone, Possession For Sale",74
"Public Transit, Acts Against",74
Post Release Community Supervision,73
Discharging Offensive or Injurious Substance in Public Area,73
"Burglary, Residence Under Constr, Att. Forcible",72
"Theft, From Person, Att. (other than Pickpocket)",72
"Explosive Device, Located",71
Carjacking with a Knife,71
"Driving, Failure To Heed Red Light And Siren",69
"Switchblade Knife, Possession",69
"Driving While Under The Influence Of Drugs, w/Injury",69
"Theft, Purse Snatch, $200-$950",68
Gun Violence Restraining Order,67
"Assault, Mayhem, W/ Force",67
False Report of Felony or Misdemeanor,66
"Checks, Theft/Non-sufficient Funds, Felony",66
"Burglary, Hotel Room, Forcible Entry",65
"Firearm, Negligent Discharge",65
Engaging In Lewd Act,64
"Homicide, W/ Gun",64
Sex Offender Petition to Terminate Registration,64
Threatening School or Public Employee,63
Soliciting or Engaging In Lewd Conduct,62
"Methamphetamine, Transportation",61
"Access Card Counterfeiting Machinery, Possession of",60
"Fireworks, Possession of any within SF,  incl. ""Safe & Sane""""""",60
"Civil Sidewalks, Violation",58
Graffiti on Government Vehicles or Public Transportation,57
"Robbery,  ATM, Force, Att.",57
"Dog, Stray or Vicious",56
"Robbery, Bank, W/ Force",56
"Phone Calls, Obscene",55
"Theft, Bicycle, <$50, no serial number",55
"Civil Sidewalks, Booking",55
"Phone Calls, Harassing, to 911",55
"Stolen Access Card, Possession",54
"Cellular or Cordless Phone Communications, Intercepting",53
"Privacy, Invasion of  (general)",53
"Public Nuisance, Maintaining After Notification",53
"Burglary, Flat Under Constr., Forcible Entry",53
"Marijuana, Cultivating/Planting",52
"Theft, Purse Snatch, >$950",52
"Weapon, Possess or Bring Other on School Grounds",52
"Public Health Order Violation, After Notification",51
Suicide By Firearms,51
"Burglary, Flat Under Constr., Unlawful Entry",51
"Theft, Vehicle Strip, <$50",50
"Marijuana, Transporting",50
"Robbery, Bank, W/ Other Weapon",49
"Rape, Assault To, W/ Force",48
"Machine Gun or Sawed-off Shotgun, Possession",47
Unlawful Assembly,46
"Theft, Trick And Device, Att.",46
"Theft of Telecommunication Services, incl. Clone Phone",46
Firearm Possession in School Zone,46
"Fire Protection Equipment, Tampering with",46
SFMTA Muni Transit Operator-Bus/LRV,45
"Evading a Police Officer, Injury or Death",45
Suicide By Jumping,45
"Marijuana, Sales",45
"Malicious Mischief, Building Under Constr.",45
"Theft, Drunk Roll, >$950",45
"Destructive Device, Exploding",44
"Theft, Bicycle, <$50, serial number known",44
Sodomy (Adult Victim),42
Loitering and Peeking into Inhabited Structure,42
"Stolen Electronics, Possession",41
"Oral Copulation, Unlawful (Adult Victim)",41
"Suicide By Laceration/Stabbing, Att.",41
"Suicide By Ingestion, Att.",41
"Robbery,  ATM, Gun",41
Liquor Law Violation (general),41
"Driving, Reckless, with Injury",41
"Arson, Portable Toilet",41
"Robbery, Att., Bank, W/ Force",41
"Kidnapping, Attempted (Adult victim)",40
"Robbery, Residence, W/ Other Weapon",40
"Assault, Att. Homicide, W/ Force",40
"Arson, Vacant Building",39
"Vehicle, Open Container Of Alcohol In",39
"Firearm, Possession of While Wearing Mask",38
"Stolen Checks, Possession",37
Hallucinogenics Offense,37
"Audiovisual (Video or Sound) Recordings, Unauthorized",36
Located Property,36
Maintaining A Public Nuisance,36
"Trash, Placing On The Street",36
Other Offenses Against Public Justice,35
Gambling,34
Suicide,34
"Assault, Mayhem, W/ Other Weapon",33
"Robbery, Att., Bank, W/ Other Weapon",33
"Controlled Substance, Transportation",32
Pandering,32
"Cocaine, Sale",31
"Stolen Cellular Phone, non-cloned, Possession",30
"Robbery, Bank, W/ Gun",30
"VIN, Alter Or Remove",30
Dissuading/Threatening Of A Witness,30
"Burglary, Safe,  Residence",30
"Robbery, Att., Comm. Establ., W/ Gun",29
"Assault, Mayhem, W/ Knife",29
"Robbery, Service Station, W/ Gun",29
"Food Stamps, Misuse of",29
"Opiates, Transportation",29
Littering or Dumping that Creates Traffic Hazard,29
"School Campus, Remaining Without Consent",29
"Probation Violation, DVU related",29
Homicide,29
"Embezzlement, Petty Theft",28
"Weapon, Concealed, Loitering While Carrying",28
"Robbery, Service Station, W/ Force",28
"Caustic Chemical, Possession",27
"Cocaine, Transportation",27
"Assault, Aggravated, W/ Semi Auto",27
"Theft, Purse Snatch, $50-$200",27
"Driving, Reckless, Motorcycle Takeover (Dirt Bike, ATV, OHV)",27
"Theft, Drunk Roll, $200-$950",27
Obscene Matter (general),27
"Death, Accidental",26
"Electrical  or Gas Lines, Interfering with",26
"Malicious Mischief, Annoying/Fictitious Phone Calls",26
Fire Code Violation (general),26
Methadone Offense,25
"Weapon, Deadly, Exhibiting to Resist Arrest",25
"Robbery,  ATM, Knife",25
"School, Public, Trespass",25
"Gambling Devices, Possession",25
Vandalism with Noxious Chemical,25
Real Estate Fraud,25
Obstructing Public Thoroughfare  (or 647(c) PC),24
"Firearm, Tampering With Marks",24
"Robbery, Att., Chain Store, W/ Other Weapon",24
"Burglary, Other Bldg. Under Constr., Att. Forcible",24
Pimping,24
"Penetration, Forced, with Object",24
Falsifying Judicial & Public Records & Documents,24
Lodging in Park,24
