description,crime_code,weapon,row_count
LARCENY,23H,ASPHYXIATION,21
HOMICIDE,09A,PERSONAL_WEAPONS,21
LARCENY,23D,ASPHYXIATION,21
HOMICIDE,09A,UNKNOWN,21
AGG. ASSAULT,13A,AUTOMATIC_FIREARM,21
ROBBERY - CARJACKING,120,BLUNT_OBJECT,21
ROBBERY,120,SHOTGUN,20
RAPE,11A,KNIFE_CUTTING_INSTRUMENT,20
AUTO THEFT,240,MOTOR_VEHICLE_VESSEL,20
RAPE,11A,HANDGUN,19
RAPE,11C,"",19
INTIMIDATION,13C,OTHER,18
ROBBERY - CARJACKING,120,MOTOR_VEHICLE_VESSEL,18
KIDNAPPING,100,KNIFE_CUTTING_INSTRUMENT,18
ROBBERY,120,AUTOMATIC_HANDGUN,17
LARCENY,23D,HANDGUN,17
RAPE,11B,HANDGUN,16
INTIMIDATION,13C,KNIFE_CUTTING_INSTRUMENT,16
LARCENY,23D,OTHER,16
VANDALISM,290,OTHER_FIREARM,14
LARCENY,23D,BLUNT_OBJECT,14
ROBBERY - CARJACKING,120,RIFLE,14
LARCENY OF MOTOR VEHICLE PARTS OR ACCESSORIES,23G,PERSONAL_WEAPONS,14
LARCENY,23D,KNIFE_CUTTING_INSTRUMENT,14
AUTO THEFT,240,FIREARM,13
SHOPLIFTING,23C,BLUNT_OBJECT,13
LARCENY FROM AUTO,23F,HANDGUN,13
INTIMIDATION,13C,HANDGUN,13
AGG. ASSAULT,13A,AUTOMATIC_RIFLE,13
LARCENY,23H,MOTOR_VEHICLE_VESSEL,12
VANDALISM,290,FIRE_INCENDIARY_DEVICE,12
LARCENY FROM AUTO,23F,FIREARM,12
FRAUD,26B,HANDGUN,12
FRAUD,26E,PERSONAL_WEAPONS,11
KIDNAPPING,100,ASPHYXIATION,11
VANDALISM,290,AUTOMATIC_FIREARM,11
RAPE,11A,ASPHYXIATION,11
WEAPON VIOLATIONS,520,FIREARM,11
ROBBERY,120,EXPLOSIVES,11
ROBBERY - COMMERCIAL,120,EXPLOSIVES,10
RAPE,11B,KNIFE_CUTTING_INSTRUMENT,10
HOMICIDE,09A,AUTOMATIC_HANDGUN,10
LARCENY FROM AUTO,23F,BLUNT_OBJECT,10
HOMICIDE,09A,BLUNT_OBJECT,9
FRAUD,26B,PERSONAL_WEAPONS,9
VANDALISM,290,AUTOMATIC_HANDGUN,9
LARCENY FROM AUTO,23F,KNIFE_CUTTING_INSTRUMENT,8
INTIMIDATION,13C,BLUNT_OBJECT,8
RAPE,11A,DRUGS_NARCOTICS_SLEEPING_PILLS,8
AUTO THEFT,240,KNIFE_CUTTING_INSTRUMENT,8
SHOPLIFTING,23C,UNKNOWN,8
ROBBERY - COMMERCIAL,120,OTHER_FIREARM,8
ROBBERY,120,FIRE_INCENDIARY_DEVICE,8
HOMICIDE,09A,AUTOMATIC_FIREARM,8
RAPE,11A,UNKNOWN,8
WEAPON VIOLATIONS,520,PERSONAL_WEAPONS,7
FRAUD,26E,HANDGUN,7
WEAPON VIOLATIONS,520,OTHER,7
EXTORTION,210,PERSONAL_WEAPONS,7
AGG. ASSAULT,13A,DRUGS_NARCOTICS_SLEEPING_PILLS,7
ROBBERY - CARJACKING,120,OTHER_FIREARM,7
AUTO THEFT,240,BLUNT_OBJECT,7
ROBBERY - CARJACKING,120,SHOTGUN,6
ROBBERY - CARJACKING,120,AUTOMATIC_HANDGUN,6
KIDNAPPING,100,BLUNT_OBJECT,6
RAPE,11A,BLUNT_OBJECT,6
LARCENY,23H,UNKNOWN,6
HOMICIDE,09A,FIRE_INCENDIARY_DEVICE,6
FRAUD,26A,OTHER,6
ARSON,200,PERSONAL_WEAPONS,6
LARCENY,23H,FIREARM,6
BURGLARY,220,MOTOR_VEHICLE_VESSEL,6
SHOPLIFTING,23C,HANDGUN,6
LARCENY FROM AUTO,23F,OTHER,5
RAPE,11B,FIREARM,5
RAPE,11A,FIREARM,5
WEAPON VIOLATIONS,520,"",5
ROBBERY - COMMERCIAL,120,SHOTGUN,5
ROBBERY - COMMERCIAL,120,RIFLE,5
RAPE,11C,BLUNT_OBJECT,5
BURGLARY,220,UNKNOWN,5
HOMICIDE,09A,RIFLE,5
KIDNAPPING,100,UNKNOWN,5
AUTO THEFT,240,OTHER,5
EXTORTION,210,HANDGUN,5
FRAUD,26A,HANDGUN,5
VANDALISM,290,AUTOMATIC_RIFLE,4
COMMON ASSAULT,13B,MOTOR_VEHICLE_VESSEL,4
SEX OFFENSES,11D,ASPHYXIATION,4
AUTO THEFT,240,ASPHYXIATION,4
HOMICIDE,09A,OTHER_FIREARM,4
LARCENY OF MOTOR VEHICLE PARTS OR ACCESSORIES,23G,HANDGUN,4
SEX OFFENSES,11D,KNIFE_CUTTING_INSTRUMENT,4
ROBBERY,120,AUTOMATIC_FIREARM,4
FRAUD,250,HANDGUN,4
AGG. ASSAULT,13A,EXPLOSIVES,4
ROBBERY - COMMERCIAL,120,MOTOR_VEHICLE_VESSEL,3
STOLEN PROPERTY,280,PERSONAL_WEAPONS,3
HUMAN TRAFFICKING,64B,PERSONAL_WEAPONS,3
RAPE,11C,HANDGUN,3
HOMICIDE,09A,DRUGS_NARCOTICS_SLEEPING_PILLS,3
HUMAN TRAFFICKING,64A,PERSONAL_WEAPONS,3
HOMICIDE,09A,ASPHYXIATION,3
