crime_id,source_city,occurrence_timestamp,latitude,longitude,source_offense_code,source_offense_category,source_offense_description,lat_below_by,lat_above_by,lon_below_by,lon_above_by,max_bound_excess_degrees
marin_county_sheriff_ca:SO150001793,marin_county_sheriff_ca,2015-04-07T15:37:00.000000,38.553255,-122.831012,,ALL OTHER - NON-CRIMINAL,AOTH,0.0,0.12325500000000034,0.0,0.0,0.12325500000000034
marin_county_sheriff_ca:SO250000878,marin_county_sheriff_ca,2025-03-31T08:28:00.000000,38.552543,-122.798075,,ALL OTHER - NON-CRIMINAL,MCSO,0.0,0.12254300000000029,0.0,0.0,0.12254300000000029
marin_county_sheriff_ca:SO160004611,marin_county_sheriff_ca,2016-11-12T01:13:00.000000,37.585901,-122.472955,,ALL OTHER - NON-CRIMINAL,AOTH,0.11409900000000306,0.0,0.0,0.0,0.11409900000000306
marin_county_sheriff_ca:SO180001259,marin_county_sheriff_ca,2018-04-24T07:00:00.000000,37.617641,-122.413844,,ALL OTHER - CRIMINAL,RESIST ARR,0.08235900000000385,0.0,0.0,0.0,0.08235900000000385
marin_county_sheriff_ca:SO260001227,marin_county_sheriff_ca,2026-05-18T06:00:00.000000,38.511121,-122.800326,,ALL OTHER - NON-CRIMINAL,MCSO,0.0,0.08112100000000311,0.0,0.0,0.08112100000000311
marin_county_sheriff_ca:SO170150082,marin_county_sheriff_ca,2017-11-23T10:44:00.000000,37.621313,-122.378955,,ALL OTHER - NON-CRIMINAL,LOST,0.07868700000000217,0.0,0.0,0.0,0.07868700000000217
marin_county_sheriff_ca:SO160005087,marin_county_sheriff_ca,2016-12-23T13:30:00.000000,37.622219,-122.409,,DRUGS / NARCOTICS VIOLATION,HS,0.07778100000000165,0.0,0.0,0.0,0.07778100000000165
marin_county_sheriff_ca:SO160003970,marin_county_sheriff_ca,2016-09-14T08:04:00.000000,37.771783,-122.175206,,ALL OTHER - NON-CRIMINAL,ALAW,0.0,0.0,0.0,0.06479399999999202,0.06479399999999202
marin_county_sheriff_ca:SO170000183,marin_county_sheriff_ca,2017-01-18T06:50:00.000000,37.793861,-122.198623,,ALL OTHER - NON-CRIMINAL,MCSO,0.0,0.0,0.0,0.04137699999999711,0.04137699999999711
marin_county_sheriff_ca:SO180001947,marin_county_sheriff_ca,2018-06-21T11:17:00.000000,38.46765,-122.725826,,ALL OTHER - NON-CRIMINAL,AOTH,0.0,0.037649999999999295,0.0,0.0,0.037649999999999295
marin_county_sheriff_ca:SO200001147,marin_county_sheriff_ca,2020-05-08T11:00:00.000000,38.46765,-122.725826,,ALL OTHER - CRIMINAL,WARR ARR,0.0,0.037649999999999295,0.0,0.0,0.037649999999999295
marin_county_sheriff_ca:SO150000787,marin_county_sheriff_ca,2015-02-11T11:25:00.000000,38.462436,-122.750702,,ASSAULT - OTHER,CHILD ABUS,0.0,0.03243599999999702,0.0,0.0,0.03243599999999702
marin_county_sheriff_ca:SO180002751,marin_county_sheriff_ca,2018-09-06T11:26:00.000000,38.450808,-123.120635,,FRAUD,FRAUD,0.0,0.02080800000000238,0.0,0.0,0.02080800000000238
marin_county_sheriff_ca:SO190003128,marin_county_sheriff_ca,2019-10-17T10:24:00.000000,38.450802,-123.120909,,ASSAULT - OTHER,CHILD ABUS,0.0,0.020802000000003318,0.0,0.0,0.020802000000003318
marin_county_sheriff_ca:SO200002422,marin_county_sheriff_ca,2020-09-22T18:04:00.000000,38.450775,-123.121242,,ALL OTHER - NON-CRIMINAL,ACHP,0.0,0.020775000000000432,0.0,0.0,0.020775000000000432
marin_county_sheriff_ca:SO210002060,marin_county_sheriff_ca,2021-07-26T19:51:00.000000,38.450775,-123.121242,,ALL OTHER - CRIMINAL,DOM VIOL,0.0,0.020775000000000432,0.0,0.0,0.020775000000000432
marin_county_sheriff_ca:SO260001785,marin_county_sheriff_ca,2026-07-16T21:19:00.000000,38.447447,-122.654295,,ALL OTHER - NON-CRIMINAL,ALAW,0.0,0.017446999999997104,0.0,0.0,0.017446999999997104
marin_county_sheriff_ca:SO140000684,marin_county_sheriff_ca,2014-02-05T15:07:00.000000,37.769879,-122.223232,,MOTOR VEHICLE THEFT,VEH STLN,0.0,0.0,0.0,0.016767999999999006,0.016767999999999006
marin_county_sheriff_ca:SO230001289,marin_county_sheriff_ca,2023-05-15T16:35:00.000000,38.443052,-123.125586,,ALL OTHER - NON-CRIMINAL,MISS PERS,0.0,0.01305200000000184,0.0,0.0,0.01305200000000184
marin_county_sheriff_ca:SO170003655,marin_county_sheriff_ca,2017-11-18T05:37:00.000000,38.439361,-122.705117,,ALL OTHER - NON-CRIMINAL,ALAW,0.0,0.009360999999998398,0.0,0.0,0.009360999999998398
marin_county_sheriff_ca:SO190002241,marin_county_sheriff_ca,2019-07-30T15:00:00.000000,38.433315,-122.717498,,WEAPONS VIOLATION,WEAPONS,0.0,0.003315000000000623,0.0,0.0,0.003315000000000623
