ucr_offense_description,nibrs_crime_category,hate_crime_description,nibrs_crime_against,nibrs_crime,offense_type,nibrs_type,nibrs_code,family_offense,nibrs_group,row_count
THEFT,LARCENY/ THEFT OFFENSES,None,PROPERTY,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,PART1,Coded,23G,false,A,5335
DRUNK & DISORDERLY,PUBLIC INTOXICATION,None,SOCIETY,PUBLIC INTOXICATION,PART2,90E - No Coded,90E,false,B,5147
THEFT,,Unknown,,,PART1,,,false,,4555
,LARCENY/ THEFT OFFENSES,None,PROPERTY,THEFT OF BUILDING,,Coded,23D,false,A,4534
DISORDERLY CONDUCT,,None,,,PART2,,,false,,4226
,ROBBERY,None,PROPERTY,ROBBERY-BUSINESS,,No Coded,120,false,A,4149
AGGRAVATED ASSAULT,,None,,,PART1,,,false,,4087
MOTOR VEHICLE ACCIDENT,TRAFFIC VIOLATION - HAZARDOUS,None,"PERSON, PROPERTY, OR SOCIETY",TRAFFIC VIOLATION - HAZARDOUS,PART2,999 - No Coded,999,false,C,4058
,ROBBERY,None,PROPERTY,ROBBERY-BUSINESS,,Coded,120,false,A,3764
ROBBERY,ROBBERY,None,PROPERTY,ROBBERY-INDIVIDUAL,PART1,Coded,120,false,A,3593
,,None,,,,NNCode,,false,,3460
CRIMINAL MISCHIEF/VANDALISM,,Unknown,,,PART2,,,false,,3441
,LARCENY/ THEFT OFFENSES,None,PROPERTY,THEFT FROM MOTOR VEHICLE,,No Coded,23F,false,A,3419
SUDDEN DEATH,,None,,,NOT CODED,,,false,,3166
,"FAMILY OFFENSES, NONVIOLENT",None,SOCIETY,"FAMILY OFFENSES, NONVIOLENT",,90F - No Coded,90F,,B,3149
FRAUD,,None,,,PART2,,,false,,3038
ASSAULT,ASSAULT OFFENSES,None,PERSON,SIMPLE ASSAULT,PART2,Coded,13B,false,A,3005
ACCIDENTAL INJURY,,None,,,NOT CODED,,,false,,2961
,DISORDERLY CONDUCT,None,SOCIETY,DISORDERLY CONDUCT,,90C - No Coded,90C,false,B,2767
AGGRAVATED ASSAULT,ASSAULT OFFENSES,None,PERSON,AGG ASSAULT - NFV,PART1,Coded,13A,false,A,2668
,COUNTERFEITING / FORGERY,None,PROPERTY,COUNTERFEITING / FORGERY,,Coded,250,false,A,2653
,ASSAULT OFFENSES,None,PERSON,INTIMIDATION,,Coded,13C,,A,2620
LOST PROPERTY,,None,,,NOT CODED,,,false,,2614
MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,None,PROPERTY,UUMV,PART1,Coded,240,false,A,2570
MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,None,PROPERTY,UUMV,PART1,Not Coded,240,false,A,2545
,FRAUD OFFENSES,None,PROPERTY,FALSE PRETENSES/ SWINDLE/ CONFIDENCE GAME,,Coded,26A,,A,2295
FORGERY & COUNTERFEIT,,None,,,PART2,,,false,,2228
,FRAUD OFFENSES,None,PROPERTY,CREDIT CARD/ ATM FRAUD,,Coded,26B,false,A,2204
THEFT,LARCENY/ THEFT OFFENSES,None,PROPERTY,SHOPLIFTING,PART1,Coded,23C,false,A,2201
,STOLEN PROPERTY OFFENSES,None,PROPERTY,STOLEN PROPERTY OFFENSES,,Coded,280,false,A,2174
,FRAUD OFFENSES,None,PROPERTY,IDENTITY THEFT,,Coded,26F,false,A,2134
,EMBEZZELMENT,None,PROPERTY,EMBEZZELMENT,,Coded,270,false,A,2072
THEFT,,None,,,NOT CODED,,,false,,2041
CRIMINAL MISCHIEF/VANDALISM,ALL OTHER OFFENSES,None,"PERSON, PROPERTY, OR SOCIETY",ALL OTHER OFFENSES,PART2,90Z - No Coded,90Z,false,B,2022
,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,None,PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,,No Coded,290,false,A,1983
,ROBBERY,None,PROPERTY,ROBBERY-INDIVIDUAL,,No Coded,120,false,A,1961
,LARCENY/ THEFT OFFENSES,None,PROPERTY,ALL OTHER LARCENY,,No Coded,23H,,A,1944
,LARCENY/ THEFT OFFENSES,None,PROPERTY,THEFT OF BUILDING,,Coded,23D,,A,1939
SUDDEN DEATH,MISCELLANEOUS,None,MISCELLANEOUS,MISCELLANEOUS,NOT CODED,999 - No Coded,999,false,C,1760
OTHER OFFENSES,ALL OTHER OFFENSES,None,"PERSON, PROPERTY, OR SOCIETY",ALL OTHER OFFENSES,PART2,90Z - No Coded,90Z,false,B,1740
ASSAULT,ASSAULT OFFENSES,None,PERSON,INTIMIDATION,PART2,Coded,13C,false,A,1713
ACCIDENTAL INJURY,MISCELLANEOUS,None,MISCELLANEOUS,MISCELLANEOUS,NOT CODED,999 - No Coded,999,false,C,1679
DISORDERLY CONDUCT,ASSAULT OFFENSES,None,PERSON,INTIMIDATION,PART2,Coded,13C,false,A,1503
OTHER OFFENSES,TRESPASS OF REAL PROPERTY,None,SOCIETY,TRESPASS OF REAL PROPERTY,PART2,90J - No Coded,90J,false,B,1482
LOST PROPERTY,MISCELLANEOUS,None,MISCELLANEOUS,MISCELLANEOUS,NOT CODED,999 - No Coded,999,false,C,1464
AUTO THEFT - UUMV,,Unknown,,,PART1,,,false,,1429
,BURGLARY/ BREAKING & ENTERING,None,PROPERTY,BURGLARY-RESIDENCE,,No Coded,220,false,A,1405
DWI,,None,,,PART2,,,false,,1342
EMBEZZLEMENT,,None,,,PART2,,,false,,1304
NARCOTICS/DRUGS,DRUG/ NARCOTIC VIOLATIONS,None,SOCIETY,DRUG/ NARCOTIC VIOLATIONS,PART2,Coded,35A,false,A,1283
BURGLARY,,Unknown,,,PART1,,,false,,1281
,BURGLARY/ BREAKING & ENTERING,None,PROPERTY,BURGLARY-BUSINESS,,No Coded,220,false,A,1273
,ARSON,None,PROPERTY,ARSON,,Coded,200,false,A,1230
DWI,DRIVING UNDER THE INFLUENCE,None,SOCIETY,DUI,PART2,90D - No Coded,90D,false,B,1222
CRIMINAL MISCHIEF/VANDALISM,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,Unknown,PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,PART2,Coded,290,false,A,1213
,TRAFFIC VIOLATION - HAZARDOUS,None,"PERSON, PROPERTY, OR SOCIETY",TRAFFIC VIOLATION - HAZARDOUS,,999 - No Coded,999,,C,1136
ROBBERY,,None,,,NOT CODED,,,false,,1134
NARCOTICS/DRUGS,,None,,,PART2,,,false,,1114
,TRAFFIC VIOLATION - NON HAZARDOUS,None,"PERSON, PROPERTY, OR SOCIETY",TRAFFIC VIOLATION - NON HAZARDOUS,,999 - No Coded,999,false,C,1056
ROBBERY,ROBBERY,None,PROPERTY,ROBBERY-BUSINESS,PART1,Coded,120,false,A,1055
,LARCENY/ THEFT OFFENSES,None,PROPERTY,THEFT FROM MOTOR VEHICLE,,No Coded,23F,,A,1031
,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,None,PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,,No Coded,290,,A,990
HOME ACCIDENT,,None,,,NOT CODED,,,false,,964
BURGLARY,,None,,,NOT CODED,,,false,,951
FRAUD,FRAUD OFFENSES,None,PROPERTY,FALSE PRETENSES/ SWINDLE/ CONFIDENCE GAME,PART2,Coded,26A,false,A,851
,ANIMAL OFFENSES,None,SOCIETY,ANIMAL CRUELTY,,Coded,720,false,A,837
THEFT,LARCENY/ THEFT OFFENSES,Unknown,PROPERTY,ALL OTHER LARCENY,PART1,Coded,23H,false,A,814
THEFT,LARCENY/ THEFT OFFENSES,Unknown,PROPERTY,THEFT FROM MOTOR VEHICLE,PART1,Coded,23F,false,A,740
ASSAULT,ASSAULT OFFENSES,None,PERSON,AGG ASSAULT - NFV,PART2,Coded,13A,false,A,736
EMBEZZLEMENT,EMBEZZELMENT,None,PROPERTY,EMBEZZELMENT,PART2,Coded,270,false,A,694
ANIMAL BITE,MISCELLANEOUS,None,MISCELLANEOUS,MISCELLANEOUS,PART2,999 - No Coded,999,false,C,671
,HOMICIDE OFFENSES,None,PERSON,MURDER & NONNEGLIGENT MANSLAUGHTER,,Coded,09A,false,A,667
,LARCENY/ THEFT OFFENSES,None,PROPERTY,ALL OTHER LARCENY,,No Coded,23H,false,A,665
,MISCELLANEOUS,Unknown,MISCELLANEOUS,MISCELLANEOUS,,999 - No Coded,999,false,C,642
,LARCENY/ THEFT OFFENSES,None,PROPERTY,POCKET-PICKING,,Coded,23A,false,A,635
THEFT,LARCENY/ THEFT OFFENSES,Unknown,PROPERTY,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,PART1,Coded,23G,false,A,635
THEFT,LARCENY/ THEFT OFFENSES,None,PROPERTY,THEFT FROM MOTOR VEHICLE,NOT CODED,No Coded,23F,false,A,629
FORGERY & COUNTERFEIT,COUNTERFEITING / FORGERY,None,PROPERTY,COUNTERFEITING / FORGERY,PART2,Coded,250,false,A,618
ANIMAL BITE,,None,,,PART2,,,false,,593
OTHER OFFENSES,MISCELLANEOUS,None,MISCELLANEOUS,MISCELLANEOUS,PART2,999 - No Coded,999,false,C,559
ROBBERY,,Unknown,,,PART1,,,false,,551
HOME ACCIDENT,MISCELLANEOUS,None,MISCELLANEOUS,MISCELLANEOUS,NOT CODED,999 - No Coded,999,false,C,514
ROBBERY,ROBBERY,None,PROPERTY,ROBBERY-INDIVIDUAL,NOT CODED,No Coded,120,false,A,510
,FRAUD OFFENSES,None,PROPERTY,IDENTITY THEFT,,No Coded,26F,false,A,495
FOUND PROPERTY,,Unknown,,,NOT CODED,,,false,,493
,GAMBLING OFFENSES,None,SOCIETY,BETTING/ WAGERING,,Coded,39A,false,A,485
,WEAPON LAW VIOLATIONS,None,SOCIETY,WEAPON LAW VIOLATIONS,,No Coded,520,false,A,465
FRAUD,FRAUD OFFENSES,None,PROPERTY,CREDIT CARD/ ATM FRAUD,PART2,Coded,26B,false,A,461
AGGRAVATED ASSAULT,,Unknown,,,PART1,,,false,,412
,DISORDERLY CONDUCT,None,SOCIETY,DISORDERLY CONDUCT,,90C - No Coded,90C,,B,401
FRAUD,FRAUD OFFENSES,None,PROPERTY,IMPERSONATION,PART2,Coded,26C,false,A,397
AUTO THEFT - UUMV,MOTOR VEHICLE THEFT,Unknown,PROPERTY,UUMV,PART1,Not Coded,240,false,A,379
,LARCENY/ THEFT OFFENSES,None,PROPERTY,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,,No Coded,23G,,A,375
AUTO THEFT - UUMV,MOTOR VEHICLE THEFT,Unknown,PROPERTY,UUMV,PART1,Coded,240,false,A,375
ASSAULT,,Unknown,,,PART2,,,false,,375
WEAPONS,WEAPON LAW VIOLATIONS,None,SOCIETY,WEAPON LAW VIOLATIONS,PART2,Coded,520,false,A,363
,"FAMILY OFFENSES, NONVIOLENT",None,SOCIETY,"FAMILY OFFENSES, NONVIOLENT",,90F - No Coded,90F,false,B,340
,LARCENY/ THEFT OFFENSES,None,PROPERTY,PURSE-SNATCHING,,Coded,23B,false,A,340
,EMBEZZELMENT,None,PROPERTY,EMBEZZELMENT,,Coded,270,,A,340
ARSON,,None,,,PART2,,,false,,337
BURGLARY,BURGLARY/ BREAKING & ENTERING,None,PROPERTY,BURGLARY-RESIDENCE,NOT CODED,No Coded,220,false,A,330
ROBBERY,ROBBERY,None,PROPERTY,ROBBERY-BUSINESS,NOT CODED,No Coded,120,false,A,307
ARSON,,Unknown,,,PART2,,,false,,302
CRIMINAL MISCHIEF/VANDALISM,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,None,PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,PART2,No Coded,290,false,A,293
TRAFFIC FATALITY,,None,,,NOT CODED,,,false,,287
DISORDERLY CONDUCT,,Unknown,,,PART2,,,false,,285
,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,Unknown,PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,,Coded,290,false,A,275
BURGLARY,BURGLARY/ BREAKING & ENTERING,Unknown,PROPERTY,BURGLARY-RESIDENCE,PART1,Coded,220,false,A,271
,KIDNAPPING/ ABDUCTION,None,PERSON,KIDNAPPING/ ABDUCTION,,Coded,100,false,A,252
WEAPONS,,None,,,PART2,,,false,,241
,FRAUD OFFENSES,None,PROPERTY,WIRE FRAUD,,Coded,26E,false,A,235
,MISCELLANEOUS,,MISCELLANEOUS,MISCELLANEOUS,,999 - No Coded,999,,C,235
,FRAUD OFFENSES,None,PROPERTY,WIRE FRAUD,,Coded,26E,,A,234
BURGLARY,BURGLARY/ BREAKING & ENTERING,None,PROPERTY,BURGLARY-BUSINESS,NOT CODED,No Coded,220,false,A,234
BURGLARY,BURGLARY/ BREAKING & ENTERING,Unknown,PROPERTY,BURGLARY-BUSINESS,PART1,Coded,220,false,A,233
NARCOTICS/DRUGS,DRUG/ NARCOTIC VIOLATIONS,None,SOCIETY,DRUG/ NARCOTIC VIOLATIONS,PART2,No Coded,35A,false,A,231
OTHER OFFENSES,ASSAULT OFFENSES,None,PERSON,INTIMIDATION,PART2,Coded,13C,false,A,228
DISORDERLY CONDUCT,DISORDERLY CONDUCT,None,SOCIETY,DISORDERLY CONDUCT,PART2,90C - No Coded,90C,false,B,211
,LARCENY/ THEFT OFFENSES,None,PROPERTY,THEFT OF COIN-OPERATED MACHINE OR DEVICE,,Coded,23E,false,A,211
FOUND PROPERTY,MISCELLANEOUS,Unknown,MISCELLANEOUS,MISCELLANEOUS,NOT CODED,999 - No Coded,999,false,C,206
FIREARMS ACCIDENT,,None,,,NOT CODED,,,false,,203
,FRAUD OFFENSES,None,PROPERTY,FALSE PRETENSES/ SWINDLE/ CONFIDENCE GAME,,No Coded,26A,false,A,200
FORGERY & COUNTERFEITING,COUNTERFEITING / FORGERY,None,PROPERTY,COUNTERFEITING / FORGERY,PART2,Coded,250,false,A,200
CHILD (OFFENSES AGAINST),,None,,,PART2,,,false,,199
ROBBERY,ROBBERY,Unknown,PROPERTY,ROBBERY-INDIVIDUAL,PART1,Coded,120,false,A,198
AGGRAVATED ASSAULT,ASSAULT OFFENSES,Unknown,PERSON,AGG ASSAULT - NFV,PART1,Coded,13A,false,A,196
,FRAUD OFFENSES,None,PROPERTY,FALSE PRETENSES/ SWINDLE/ CONFIDENCE GAME,,No Coded,26A,,A,191
,LARCENY/ THEFT OFFENSES,None,PROPERTY,POCKET-PICKING,,Coded,23A,,A,189
,FRAUD OFFENSES,None,PROPERTY,CREDIT CARD/ ATM FRAUD,,Coded,26B,,A,189
SUDDEN DEATH,MISCELLANEOUS,,MISCELLANEOUS,MISCELLANEOUS,NOT CODED,999 - No Coded,999,,C,181
TRAFFIC FATALITY,MISCELLANEOUS,None,MISCELLANEOUS,MISCELLANEOUS,NOT CODED,999 - No Coded,999,false,C,180
,MOTOR VEHICLE THEFT,,PROPERTY,UUMV,,Not Coded,240,,A,175
LOST PROPERTY,,Unknown,,,NOT CODED,,,false,,175
THEFT,LARCENY/ THEFT OFFENSES,None,PROPERTY,POCKET-PICKING,PART1,Coded,23A,false,A,169
THEFT,LARCENY/ THEFT OFFENSES,None,PROPERTY,ALL OTHER LARCENY,NOT CODED,No Coded,23H,false,A,166
,STOLEN PROPERTY OFFENSES,None,PROPERTY,STOLEN PROPERTY OFFENSES,,No Coded,280,false,A,162
,MOTOR VEHICLE THEFT,None,PROPERTY,UUMV,,Not Coded,240,,A,162
,MOTOR VEHICLE THEFT,None,PROPERTY,UUMV,,Coded,240,,A,160
THEFT,LARCENY/ THEFT OFFENSES,None,PROPERTY,PURSE-SNATCHING,PART1,Coded,23B,false,A,160
FRAUD,FRAUD OFFENSES,None,PROPERTY,IDENTITY THEFT,PART2,Coded,26F,false,A,160
,LARCENY/ THEFT OFFENSES,Unknown,PROPERTY,THEFT FROM MOTOR VEHICLE,,Coded,23F,false,A,159
,FRAUD OFFENSES,None,PROPERTY,IMPERSONATION,,Coded,26C,false,A,156
MURDER,,None,,,PART1,,,false,,156
ARSON,ARSON,None,PROPERTY,ARSON,PART2,Coded,200,false,A,155
OTHER OFFENSES,,Unknown,,,PART2,,,false,,153
,MOTOR VEHICLE THEFT,Unknown,PROPERTY,UUMV,,Coded,240,false,A,149
,MOTOR VEHICLE THEFT,Unknown,PROPERTY,UUMV,,Not Coded,240,false,A,145
ARSON,ARSON,Unknown,PROPERTY,ARSON,PART2,Coded,200,false,A,143
MOTOR VEHICLE ACCIDENT,,Unknown,,,PART2,,,false,,142
CRIMINAL MISCHIEF/VANDALISM,ALL OTHER OFFENSES,Unknown,"PERSON, PROPERTY, OR SOCIETY",ALL OTHER OFFENSES,PART2,90Z - No Coded,90Z,false,B,136
THEFT,LARCENY/ THEFT OFFENSES,None,PROPERTY,THEFT OF COIN-OPERATED MACHINE OR DEVICE,PART1,Coded,23E,false,A,135
OCCUPATIONAL ACCIDENT,,None,,,NOT CODED,,,false,,134
,LARCENY/ THEFT OFFENSES,None,PROPERTY,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,,No Coded,23G,false,A,132
NO UCR REPORTABLE OFFENSE,,None,,,NOT CODED,,,false,,127
FIREARMS ACCIDENT,MISCELLANEOUS,None,MISCELLANEOUS,MISCELLANEOUS,NOT CODED,999 - No Coded,999,false,C,127
FOUND PROPERTY,,,,,NOT CODED,,,,,126
ASSAULT,ASSAULT OFFENSES,Unknown,PERSON,SIMPLE ASSAULT,PART2,Coded,13B,false,A,125
TRAFFIC,,None,,,PART2,,,false,,122
ACCIDENTAL INJURY,,Unknown,,,NOT CODED,,,false,,118
,ALL OTHER OFFENSES,Unknown,"PERSON, PROPERTY, OR SOCIETY",ALL OTHER OFFENSES,,90Z - No Coded,90Z,false,B,116
MURDER,HOMICIDE OFFENSES,None,PERSON,MURDER & NONNEGLIGENT MANSLAUGHTER,PART1,Coded,09A,false,A,115
,HOMICIDE OFFENSES,None,PERSON,JUSTIFIABLE HOMICIDE,,Coded,09C,false,A,115
TRAFFIC,MISCELLANEOUS,None,MISCELLANEOUS,MISCELLANEOUS,NOT CODED,999 - No Coded,999,false,C,114
FRAUD,,Unknown,,,PART2,,,false,,113
,ASSAULT OFFENSES,Unknown,PERSON,AGG ASSAULT - NFV,,Coded,13A,false,A,110
THEFT,,Unknown,,,NOT CODED,,,false,,106
TRAFFIC,TRAFFIC VIOLATION - NON HAZARDOUS,None,"PERSON, PROPERTY, OR SOCIETY",TRAFFIC VIOLATION - NON HAZARDOUS,PART2,999 - No Coded,999,false,C,102
,LARCENY/ THEFT OFFENSES,None,PROPERTY,THEFT OF BUILDING,,No Coded,23D,false,A,101
SUDDEN DEATH,,,,,NOT CODED,,,,,96
,LARCENY/ THEFT OFFENSES,None,PROPERTY,SHOPLIFTING,,No Coded,23C,,A,95
,DRUG/ NARCOTIC VIOLATIONS,None,SOCIETY,DRUG/ NARCOTIC VIOLATIONS,,Coded,35A,,A,93
CHILD (OFFENSES AGAINST),"FAMILY OFFENSES, NONVIOLENT",None,SOCIETY,"FAMILY OFFENSES, NONVIOLENT",PART2,90F - No Coded,90F,false,B,93
,BURGLARY/ BREAKING & ENTERING,None,PROPERTY,BURGLARY-BUSINESS,,Coded,220,,A,92
,LARCENY/ THEFT OFFENSES,None,PROPERTY,SHOPLIFTING,,No Coded,23C,false,A,89
THEFT,LARCENY/ THEFT OFFENSES,None,PROPERTY,THEFT FROM MOTOR VEHICLE,NOT CODED,Coded,23F,false,A,89
AUTO THEFT - UUMV,,None,,,NOT CODED,,,false,,88
MURDER,,Unknown,,,PART1,,,false,,84
EMBEZZLEMENT,,Unknown,,,PART2,,,false,,83
,TRAFFIC VIOLATION - HAZARDOUS,Unknown,"PERSON, PROPERTY, OR SOCIETY",TRAFFIC VIOLATION - HAZARDOUS,,999 - No Coded,999,false,C,79
CRIMINAL MISCHIEF/VANDALISM,ANIMAL OFFENSES,None,SOCIETY,ANIMAL CRUELTY,PART2,Coded,720,false,A,78
LOST PROPERTY,MISCELLANEOUS,Unknown,MISCELLANEOUS,MISCELLANEOUS,NOT CODED,999 - No Coded,999,false,C,77
,LARCENY/ THEFT OFFENSES,Unknown,PROPERTY,ALL OTHER LARCENY,,Coded,23H,false,A,75
DISORDERLY CONDUCT,ASSAULT OFFENSES,Unknown,PERSON,INTIMIDATION,PART2,Coded,13C,false,A,75
,FRAUD OFFENSES,None,PROPERTY,HACKING/COMPUTER INVASION,,Coded,26G,false,A,73
ROBBERY,,Unknown,,,NOT CODED,,,false,,72
SUDDEN DEATH,,Unknown,,,NOT CODED,,,false,,70
,COUNTERFEITING / FORGERY,None,PROPERTY,COUNTERFEITING / FORGERY,,No Coded,250,false,A,69
TRAFFIC,TRAFFIC VIOLATION - HAZARDOUS,None,"PERSON, PROPERTY, OR SOCIETY",TRAFFIC VIOLATION - HAZARDOUS,PART2,999 - No Coded,999,false,C,69
,HOMICIDE OFFENSES,None,PERSON,NEGLIGENT MANSLAUGHTER,,Coded,09B,false,A,69
,LIQUOR LAW VIOLATIONS,None,SOCIETY,LIQUOR LAW VIOLATIONS,,90G - No Coded,90G,false,B,66
,ASSAULT OFFENSES,Unknown,PERSON,INTIMIDATION,,Coded,13C,false,A,66
THEFT,LARCENY/ THEFT OFFENSES,None,PROPERTY,ALL OTHER LARCENY,NOT CODED,Coded,23H,false,A,63
MOTOR VEHICLE ACCIDENT,TRAFFIC VIOLATION - HAZARDOUS,Unknown,"PERSON, PROPERTY, OR SOCIETY",TRAFFIC VIOLATION - HAZARDOUS,PART2,999 - No Coded,999,false,C,63
,BURGLARY/ BREAKING & ENTERING,Unknown,PROPERTY,BURGLARY-BUSINESS,,Coded,220,false,A,63
,COUNTERFEITING / FORGERY,None,PROPERTY,COUNTERFEITING / FORGERY,,Coded,250,,A,63
,ASSAULT OFFENSES,Unknown,PERSON,SIMPLE ASSAULT,,Coded,13B,false,A,60
