ofns_desc,law_cat_cd,loc_of_occur_desc,juris_desc,prem_typ_desc,pd_desc,jurisdiction_code,row_count
PETIT LARCENY,MISDEMEANOR,OPPOSITE OF,N.Y. POLICE DEPT,COMMERCIAL BUILDING,"LARCENY,PETIT OF BICYCLE",0,5
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,DRY CLEANER/LAUNDRY,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",0,5
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,STORAGE FACILITY,"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK",0,5
ARSON,FELONY,INSIDE,OTHER,FAST FOOD,"ARSON 2,3,4",97,5
MISCELLANEOUS PENAL LAW,FELONY,FRONT OF,N.Y. POLICE DEPT,RESTAURANT/DINER,UNAUTHORIZED USE VEHICLE 2,0,5
GRAND LARCENY,FELONY,REAR OF,N.Y. POLICE DEPT,CHAIN STORE,"LARCENY,GRAND FROM PERSON,UNCL",0,5
MISCELLANEOUS PENAL LAW,VIOLATION,REAR OF,N.Y. POLICE DEPT,STREET,"MARIJUANA, POSSESSION",0,5
PETIT LARCENY,MISDEMEANOR,INSIDE,OTHER,HOSPITAL,"LARCENY,PETIT FROM BUILDING,UN",97,5
POSSESSION OF STOLEN PROPERTY,FELONY,INSIDE,N.Y. POLICE DEPT,LOAN COMPANY,"STOLEN PROPERTY 2,1,POSSESSION",0,5
PETIT LARCENY,MISDEMEANOR,(null),N.Y. POLICE DEPT,CONSTRUCTION SITE,"LARCENY,PETIT OF LICENSE PLATE",0,5
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,FRONT OF,PORT AUTHORITY,TRANSIT FACILITY (OTHER),ASSAULT 3,3,5
MISCELLANEOUS PENAL LAW,FELONY,INSIDE,N.Y. POLICE DEPT,SMALL MERCHANT,"IMPERSONATION 1, POLICE OFFICE",0,5
DANGEROUS DRUGS,MISDEMEANOR,FRONT OF,OTHER,RESIDENCE - APT. HOUSE,"CONTROLLED SUBSTANCE, POSSESSI",97,5
THEFT-FRAUD,FELONY,INSIDE,N.Y. POLICE DEPT,HOSPITAL,COMPUTER TAMPER/TRESSPASS,0,5
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,REAR OF,N.Y. POLICE DEPT,BUS (NYC TRANSIT),ASSAULT 3,0,5
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,MOSQUE,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNCLASSIFIED",0,5
MISCELLANEOUS PENAL LAW,FELONY,INSIDE,N.Y. POLICE DEPT,OTHER,END WELFARE VULNERABLE ELDERLY PERSON,0,5
MISCELLANEOUS PENAL LAW,FELONY,REAR OF,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"PUBLIC ADMINISTRATION,UNCLASSI",0,5
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,(null),N.Y. POLICE DEPT,HIGHWAY/PARKWAY,"MISCHIEF, CRIMINAL 4, BY FIRE",0,5
OFF. AGNST PUB ORD SENSBLTY &,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,DRUG STORE,"LEWDNESS,PUBLIC",0,5
GRAND LARCENY,FELONY,(null),N.Y. POLICE DEPT,TAXI/LIVERY (UNLICENSED),"LARCENY,GRAND BY ACQUIRING LOST CREDIT CARD",0,5
PETIT LARCENY,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,CHURCH,"LARCENY,PETIT OF VEHICLE ACCES",0,5
ROBBERY,FELONY,(null),N.Y. POLICE DEPT,HOMELESS SHELTER,"ROBBERY,OPEN AREA UNCLASSIFIED",0,5
OFF. AGNST PUB ORD SENSBLTY &,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,GROCERY/BODEGA,FALSE REPORT UNCLASSIFIED,0,5
FELONY ASSAULT,FELONY,FRONT OF,N.Y. POLICE DEPT,BUS (OTHER),ASSAULT OTHER PUBLIC SERVICE EMPLOYEE,0,5
DANGEROUS WEAPONS,FELONY,INSIDE,N.Y. POLICE DEPT,DRUG STORE,CRIMINAL POSSESSION WEAPON,0,5
PETIT LARCENY,MISDEMEANOR,(null),N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,"LARCENY,PETIT OF VEHICLE ACCES",2,5
GRAND LARCENY,FELONY,FRONT OF,N.Y. POLICE DEPT,OTHER,"LARCENY,GRAND BY BANK ACCT COMPROMISE-UNAUTHORIZED PURCHASE",0,5
POSSESSION OF STOLEN PROPERTY,FELONY,INSIDE,N.Y. POLICE DEPT,CHAIN STORE,"STOLEN PROPERTY 2,POSSESSION B",0,5
ROBBERY,FELONY,(null),N.Y. POLICE DEPT,TUNNEL,"ROBBERY,POCKETBOOK/CARRIED BAG",0,5
POSSESSION OF STOLEN PROPERTY,FELONY,FRONT OF,N.Y. POLICE DEPT,FAST FOOD,"STOLEN PROPERTY 2,1,POSSESSION",0,5
OFFENSES AGAINST THE PERSON,MISDEMEANOR,(null),N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,CUSTODIAL INTERFERENCE 2,0,5
GRAND LARCENY,FELONY,OPPOSITE OF,N.Y. POLICE DEPT,DOCTOR/DENTIST OFFICE,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",0,5
GRAND LARCENY,FELONY,FRONT OF,N.Y. POLICE DEPT,RESIDENCE - PUBLIC HOUSING,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",0,5
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,BUS (NYC TRANSIT),"LARCENY,PETIT BY ACQUIRING LOS",0,5
OFFENSES AGAINST PUBLIC ADMINI,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,STREET,"PERJURY 3,ETC.",0,5
CRIMINAL MISCHIEF & RELATED OF,FELONY,(null),N.Y. POLICE DEPT,MAILBOX INSIDE,"TAMPERING 1,CRIMINAL",0,5
CRIMINAL MISCHIEF & RELATED OF,FELONY,INSIDE,N.Y. POLICE DEPT,PUBLIC BUILDING,"MISCHIEF, CRIMINAL 3 & 2, OF M",0,5
OFFENSES AGAINST PUBLIC ADMINI,MISDEMEANOR,FRONT OF,PORT AUTHORITY,BUS TERMINAL,VIOLATION OF ORDER OF PROTECTI,3,5
PETIT LARCENY,MISDEMEANOR,(null),N.Y. POLICE DEPT,VARIETY STORE,"LARCENY,PETIT FROM BUILDING,UN",0,5
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,REAR OF,N.Y. POLICE DEPT,SOCIAL CLUB/POLICY,ASSAULT 3,0,5
ROBBERY,FELONY,INSIDE,N.Y. POLICE DEPT,SMALL MERCHANT,"ROBBERY,RESIDENTIAL COMMON AREA",0,5
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"LARCENY,PETIT FROM PIER",0,5
CRIMINAL MISCHIEF & RELATED OF,FELONY,INSIDE,N.Y. STATE POLICE,BAR/NIGHT CLUB,"MISCHIEF,CRIMINAL,    UNCL 2ND",11,5
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,CHURCH,"LARCENY,GRAND FROM PERSON, BAG OPEN/DIP",0,5
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,(null),N.Y. POLICE DEPT,PARK/PLAYGROUND,"TAMPERING 3,2, CRIMINAL",0,5
RAPE,FELONY,INSIDE,N.Y. POLICE DEPT,PARK/PLAYGROUND,RAPE 2,0,5
FELONY ASSAULT,FELONY,REAR OF,N.Y. POLICE DEPT,BEAUTY & NAIL SALON,"ASSAULT 2,1,UNCLASSIFIED",0,5
PETIT LARCENY,MISDEMEANOR,OPPOSITE OF,N.Y. POLICE DEPT,COMMERCIAL BUILDING,"LARCENY,PETIT OF LICENSE PLATE",0,5
GRAND LARCENY,FELONY,(null),N.Y. POLICE DEPT,RESIDENCE - PUBLIC HOUSING,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",0,5
MISCELLANEOUS PENAL LAW,FELONY,INSIDE,OTHER,HOMELESS SHELTER,MENACING 1ST DEGREE (VICT PEAC,97,5
CRIMINAL MISCHIEF & RELATED OF,FELONY,OPPOSITE OF,N.Y. POLICE DEPT,STREET,"MISCHIEF 1,CRIMINAL,EXPLOSIVE",0,5
CRIMINAL MISCHIEF & RELATED OF,FELONY,INSIDE,DEPT OF CORRECTIONS,(null),"MISCHIEF,CRIMINAL,    UNCL 2ND",72,5
OTHER OFFENSES RELATED TO THEFT,MISDEMEANOR,REAR OF,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,"THEFT OF SERVICES, UNCLASSIFIE",2,5
GRAND LARCENY,FELONY,(null),N.Y. POLICE DEPT,BUS TERMINAL,"LARCENY,GRAND FROM PERSON,PICK",0,5
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,OPPOSITE OF,N.Y. POLICE DEPT,RESTAURANT/DINER,"MISCHIEF, CRIMINAL 4, OF MOTOR",0,5
MISCELLANEOUS PENAL LAW,FELONY,INSIDE,N.Y. POLICE DEPT,RESIDENCE-HOUSE,HEALTHCARE/RENT.REG.,0,5
OFFENSES AGAINST THE PERSON,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,PUBLIC BUILDING,CUSTODIAL INTERFERENCE 2,0,5
ROBBERY,FELONY,(null),N.Y. POLICE DEPT,FAST FOOD,"ROBBERY,COMMERCIAL UNCLASSIFIED",0,5
DISORDERLY CONDUCT,VIOLATION,INSIDE,HEALTH & HOSP CORP,HOSPITAL,DISORDERLY CONDUCT,14,5
GRAND LARCENY,FELONY,(null),N.Y. POLICE DEPT,PARKING LOT/GARAGE (PUBLIC),"LARCENY,GRAND FROM PERSON, BAG OPEN/DIP",0,5
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,(null),N.Y. TRANSIT POLICE,(null),"CRIMINAL MISCHIEF,UNCLASSIFIED 4",1,5
PETIT LARCENY,MISDEMEANOR,(null),PORT AUTHORITY,AIRPORT TERMINAL,"LARCENY,PETIT FROM TRUCK",3,5
MISCELLANEOUS PENAL LAW,FELONY,INSIDE,N.Y. POLICE DEPT,COMMERCIAL BUILDING,AGGRAVATED CRIMINAL CONTEMPT,0,5
ROBBERY,FELONY,FRONT OF,N.Y. POLICE DEPT,FOOD SUPERMARKET,"ROBBERY,NECKCHAIN/JEWELRY",0,5
AGRICULTURE & MRKTS LAW-UNCLASSIFIED,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,(null),ABANDON ANIMAL,0,5
THEFT-FRAUD,FELONY,FRONT OF,N.Y. POLICE DEPT,DOCTOR/DENTIST OFFICE,"FRAUD,UNCLASSIFIED-FELONY",0,5
(null),MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,PARK/PLAYGROUND,"LEWDNESS,PUBLIC",0,5
MISCELLANEOUS PENAL LAW,FELONY,INSIDE,N.Y. POLICE DEPT,DEPARTMENT STORE,UNAUTHORIZED USE VEHICLE 2,0,5
GRAND LARCENY,FELONY,FRONT OF,N.Y. POLICE DEPT,FOOD SUPERMARKET,"LARCENY,GRAND FROM PERSON,UNCL",0,5
GRAND LARCENY,FELONY,REAR OF,N.Y. POLICE DEPT,CHAIN STORE,"LARCENY,GRAND FROM STORE-SHOPL",0,5
OTHER OFFENSES RELATED TO THEF,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,FAST FOOD,"THEFT OF SERVICES, UNCLASSIFIE",0,5
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. HOUSING POLICE,MAILBOX OUTSIDE,"LARCENY,PETIT FROM OPEN AREAS,",2,5
SEX CRIMES,FELONY,INSIDE,OTHER,OTHER,SODOMY 1,97,5
OFFENSES AGAINST PUBLIC ADMINI,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"PERJURY 3,ETC.",0,5
ADMINISTRATIVE CODE,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,STORE UNCLASSIFIED,"ADM.CODE,UNCLASSIFIED MISDEMEA",0,5
GRAND LARCENY,FELONY,INSIDE,HEALTH & HOSP CORP,HOSPITAL,"LARCENY,GRAND BY ACQUIRING LOS",14,5
PETIT LARCENY,MISDEMEANOR,REAR OF,N.Y. POLICE DEPT,PUBLIC SCHOOL,"LARCENY,PETIT BY ACQUIRING LOS",0,5
HARRASSMENT 2,VIOLATION,FRONT OF,N.Y. POLICE DEPT,VIDEO STORE,"HARASSMENT,SUBD 3,4,5",0,5
OFF. AGNST PUB ORD SENSBLTY &,MISDEMEANOR,INSIDE,PORT AUTHORITY,COMMERCIAL BUILDING,FALSE REPORT BOMB,3,5
GRAND LARCENY,FELONY,REAR OF,N.Y. POLICE DEPT,PARKING LOT/GARAGE (PUBLIC),"LARCENY,GRAND BY THEFT OF CREDIT CARD",0,5
OFFENSES AGAINST PUBLIC ADMINI,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,CHECK CASHING BUSINESS,RESISTING ARREST,0,5
HARRASSMENT 2,VIOLATION,INSIDE,N.Y. POLICE DEPT,BRIDGE,"HARASSMENT,SUBD 3,4,5",0,5
FELONY ASSAULT,FELONY,FRONT OF,DEPT OF CORRECTIONS,OTHER,"ASSAULT 2,1,UNCLASSIFIED",72,5
PETIT LARCENY,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,HOSPITAL,"LARCENY,PETIT BY ACQUIRING LOS",0,5
DANGEROUS DRUGS,MISDEMEANOR,OPPOSITE OF,N.Y. STATE PARKS,PARK/PLAYGROUND,"MARIJUANA, POSSESSION 4 & 5",12,5
ROBBERY,FELONY,(null),N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,"ROBBERY,DWELLING",2,5
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,HOMELESS SHELTER,"LARCENY,PETIT BY CHECK USE",0,5
GRAND LARCENY,FELONY,FRONT OF,N.Y. POLICE DEPT,TAXI (YELLOW LICENSED),"LARCENY,GRAND BY FALSE PROMISE-IN PERSON CONTACT",0,5
INTOXICATED & IMPAIRED DRIVING,MISDEMEANOR,REAR OF,N.Y. POLICE DEPT,RESTAURANT/DINER,"INTOXICATED DRIVING,ALCOHOL",0,5
DANGEROUS DRUGS,FELONY,(null),TRI-BORO BRDG TUNNL,TUNNEL,"CONTROLLED SUBSTANCE,POSSESS.",4,5
ROBBERY,FELONY,REAR OF,N.Y. POLICE DEPT,OTHER,"ROBBERY,NECKCHAIN/JEWELRY",0,5
FELONY ASSAULT,FELONY,INSIDE,N.Y. POLICE DEPT,CHURCH,ASSAULT POLICE/PEACE OFFICER,0,5
SEX CRIMES,FELONY,OPPOSITE OF,N.Y. POLICE DEPT,OTHER,SEXUAL ABUSE,0,5
MISCELLANEOUS PENAL LAW,FELONY,OPPOSITE OF,N.Y. HOUSING POLICE,RESIDENCE - PUBLIC HOUSING,MENACING 1ST DEGREE (VICT PEAC,2,5
FELONY ASSAULT,FELONY,(null),N.Y. POLICE DEPT,FERRY/FERRY TERMINAL,"ASSAULT 2,1,UNCLASSIFIED",0,5
PETIT LARCENY,MISDEMEANOR,(null),N.Y. POLICE DEPT,CEMETERY,"LARCENY,PETIT FROM OPEN AREAS,",0,5
OFFENSES AGAINST PUBLIC ADMINI,MISDEMEANOR,REAR OF,N.Y. POLICE DEPT,PUBLIC SCHOOL,VIOLATION OF ORDER OF PROTECTI,0,5
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,OPPOSITE OF,N.Y. POLICE DEPT,DRY CLEANER/LAUNDRY,"CRIMINAL MISCHIEF 4TH, GRAFFIT",0,5
DANGEROUS DRUGS,FELONY,(null),N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"CONTROLLED SUBSTANCE, SALE 5",0,5
FELONY ASSAULT,FELONY,INSIDE,N.Y. POLICE DEPT,CEMETERY,"ASSAULT 2,1,UNCLASSIFIED",0,5
HARRASSMENT 2,VIOLATION,INSIDE,N.Y. POLICE DEPT,SMOKE SHOP,"HARASSMENT,SUBD 1,CIVILIAN",0,5
GRAND LARCENY,FELONY,FRONT OF,N.Y. POLICE DEPT,OPEN AREAS (OPEN LOTS),"LARCENY,GRAND BY THEFT OF CREDIT CARD",0,5
INTOXICATED & IMPAIRED DRIVING,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,(null),"INTOXICATED DRIVING,ALCOHOL",0,5
FELONY ASSAULT,FELONY,(null),N.Y. TRANSIT POLICE,(null),ASSAULT POLICE/PEACE OFFICER,1,5
DANGEROUS DRUGS,MISDEMEANOR,REAR OF,N.Y. POLICE DEPT,FAST FOOD,"CONTROLLED SUBSTANCE, POSSESSI",0,5
PETIT LARCENY,MISDEMEANOR,INSIDE,MTA POLICE DEPT,TRANSIT FACILITY (OTHER),"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE",17,5
FRAUDS,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,PUBLIC BUILDING,COMPUTER UNAUTH. USE/TAMPER,0,5
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,FAST FOOD,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",0,5
OFF. AGNST PUB ORD SENSBLTY &,MISDEMEANOR,INSIDE,MTA POLICE DEPT,OTHER,"LEWDNESS,PUBLIC",17,5
SEX CRIMES,FELONY,OPPOSITE OF,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,SODOMY 1,0,5
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,RESIDENCE - PUBLIC HOUSING,"LARCENY,PETIT BY FALSE PROMISE",0,5
GRAND LARCENY,FELONY,FRONT OF,N.Y. POLICE DEPT,MARINA/PIER,"LARCENY,GRAND OF BOAT",0,5
DANGEROUS DRUGS,FELONY,(null),N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"CONTROLLED SUBSTANCE,SALE 3",0,5
HARRASSMENT 2,VIOLATION,INSIDE,N.Y. POLICE DEPT,BUS STOP,"HARASSMENT,SUBD 1,CIVILIAN",0,5
ROBBERY,FELONY,FRONT OF,N.Y. POLICE DEPT,CHAIN STORE,"ROBBERY,CLOTHING",0,5
MISCELLANEOUS PENAL LAW,FELONY,INSIDE,N.Y. POLICE DEPT,TRANSIT FACILITY (OTHER),MAKING TERRORISTIC THREAT,0,5
CANNABIS RELATED OFFENSES,VIOLATION,(null),N.Y. POLICE DEPT,STREET,CANNABIS SALE,0,5
HARRASSMENT 2,VIOLATION,FRONT OF,PORT AUTHORITY,STREET,"HARASSMENT,SUBD 1,CIVILIAN",3,5
DANGEROUS DRUGS,MISDEMEANOR,OPPOSITE OF,MTA POLICE DEPT,STREET,"CONTROLLED SUBSTANCE, POSSESSI",17,5
CRIMINAL TRESPASS,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,SYNAGOGUE,"TRESPASS 3, CRIMINAL",0,5
(null),MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,RIOT 2/INCITING,0,5
DANGEROUS DRUGS,MISDEMEANOR,REAR OF,N.Y. POLICE DEPT,BAR/NIGHT CLUB,"MARIJUANA, POSSESSION 4 & 5",0,5
CRIMINAL TRESPASS,MISDEMEANOR,OPPOSITE OF,N.Y. POLICE DEPT,RESIDENCE - PUBLIC HOUSING,"TRESPASS 2, CRIMINAL",0,5
DANGEROUS DRUGS,MISDEMEANOR,REAR OF,N.Y. POLICE DEPT,PUBLIC SCHOOL,"CONTROLLED SUBSTANCE, POSSESSI",0,5
POSSESSION OF STOLEN PROPERTY,FELONY,FRONT OF,N.Y. POLICE DEPT,DRUG STORE,"STOLEN PROPERTY 2,1,POSSESSION",0,5
THEFT-FRAUD,FELONY,INSIDE,N.Y. POLICE DEPT,CONSTRUCTION SITE,"FRAUD,UNCLASSIFIED-FELONY",0,5
CRIMINAL MISCHIEF & RELATED OF,FELONY,INSIDE,N.Y. POLICE DEPT,HOSPITAL,CRIMINAL MIS 2 & 3,0,5
PETIT LARCENY,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,COLLEGE/UNIVERSITY,"LARCENY,PETIT BY ACQUIRING LOS",0,5
OFFENSES AGAINST THE PERSON,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,PRIVATE/PAROCHIAL SCHOOL,RECKLESS ENDANGERMENT 2,0,5
ROBBERY,FELONY,FRONT OF,N.Y. POLICE DEPT,HIGHWAY/PARKWAY,"ROBBERY,PERSONAL ELECTRONIC DEVICE",0,5
MISCELLANEOUS PENAL LAW,FELONY,INSIDE,PORT AUTHORITY,BUS TERMINAL,MAKING TERRORISTIC THREAT,3,5
PETIT LARCENY,MISDEMEANOR,REAR OF,N.Y. POLICE DEPT,RESTAURANT/DINER,"LARCENY,PETIT OF LICENSE PLATE",0,5
GRAND LARCENY,FELONY,REAR OF,N.Y. POLICE DEPT,DOCTOR/DENTIST OFFICE,"LARCENY,GRAND FROM VEHICLE/MOTORCYCLE",0,5
RAPE,FELONY,REAR OF,N.Y. POLICE DEPT,RESIDENCE-HOUSE,"RAPE 1,ATTEMPT",0,5
DANGEROUS DRUGS,FELONY,INSIDE,N.Y. POLICE DEPT,RESTAURANT/DINER,"CONTROLLED SUBSTANCE, INTENT T",0,5
MISCELLANEOUS PENAL LAW,FELONY,INSIDE,N.Y. POLICE DEPT,BEAUTY & NAIL SALON,AGGRAVATED CRIMINAL CONTEMPT,0,5
MISCELLANEOUS PENAL LAW,FELONY,INSIDE,N.Y. POLICE DEPT,OTHER,AGGRAVATED CRIMINAL CONTEMPT,0,5
PROSTITUTION & RELATED OFFENSES,FELONY,FRONT OF,N.Y. POLICE DEPT,STREET,SEX TRAFFICKING,0,5
GRAND LARCENY,FELONY,FRONT OF,N.Y. POLICE DEPT,OTHER,"LARCENY,GRAND BY IDENTITY THEFT-UNCLASSIFIED",0,5
MISCELLANEOUS PENAL LAW,FELONY,INSIDE,N.Y. POLICE DEPT,BANK,AGGRAVATED HARASSMENT 1,0,5
DANGEROUS WEAPONS,MISDEMEANOR,INSIDE,METRO NORTH,TRANSIT FACILITY (OTHER),"WEAPONS, POSSESSION, ETC",15,5
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,DAYCARE FACILITY,"MENACING,UNCLASSIFIED",0,5
FELONY ASSAULT,FELONY,FRONT OF,N.Y. POLICE DEPT,OPEN AREAS (OPEN LOTS),ASSAULT POLICE/PEACE OFFICER,0,5
ASSAULT 3 & RELATED OFFENSES,MISDEMEANOR,OPPOSITE OF,N.Y. POLICE DEPT,BUS (OTHER),ASSAULT 3,0,5
GRAND LARCENY,FELONY,OPPOSITE OF,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"LARCENY,GRAND FROM OPEN AREAS, UNATTENDED",0,5
MISCELLANEOUS PENAL LAW,FELONY,INSIDE,N.Y. POLICE DEPT,SMALL MERCHANT,RECKLESS ENDANGERMENT 1,0,5
DANGEROUS DRUGS,FELONY,INSIDE,N.Y. POLICE DEPT,FAST FOOD,"CONTROLLED SUBSTANCE,SALE 2",0,5
CRIMINAL TRESPASS,MISDEMEANOR,REAR OF,N.Y. POLICE DEPT,CONSTRUCTION SITE,"TRESPASS 2, CRIMINAL",0,5
MURDER & NON-NEGL. MANSLAUGHTER,FELONY,OUTSIDE,N.Y. POLICE DEPT,FAST FOOD,(null),0,5
ROBBERY,FELONY,OPPOSITE OF,N.Y. POLICE DEPT,OPEN AREAS (OPEN LOTS),"ROBBERY,PERSONAL ELECTRONIC DEVICE",0,5
OTHER OFFENSES RELATED TO THEF,MISDEMEANOR,INSIDE,PORT AUTHORITY,TRANSIT FACILITY (OTHER),"THEFT OF SERVICES, UNCLASSIFIE",3,5
FELONY ASSAULT,FELONY,INSIDE,N.Y. POLICE DEPT,STREET,ASSAULT OTHER PUBLIC SERVICE EMPLOYEE,0,5
DANGEROUS DRUGS,FELONY,OPPOSITE OF,N.Y. POLICE DEPT,OTHER,"CONTROLLED SUBSTANCE, INTENT T",0,5
OFFENSES AGAINST THE PERSON,MISDEMEANOR,FRONT OF,N.Y. HOUSING POLICE,STREET,RECKLESS ENDANGERMENT 2,2,5
OFF. AGNST PUB ORD SENSBLTY &,MISDEMEANOR,INSIDE,DEPT OF CORRECTIONS,OTHER,"LEWDNESS,PUBLIC",72,5
GRAND LARCENY,FELONY,FRONT OF,N.Y. POLICE DEPT,HOTEL/MOTEL,"LARCENY,GRAND BY EXTORTION",0,5
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,CHAIN STORE,"MISCHIEF, CRIMINAL 4, BY FIRE",0,5
GRAND LARCENY,FELONY,INSIDE,DISTRICT ATTORNEY OFFICE,COMMERCIAL BUILDING,"LARCENY,GRAND BY FALSE PROMISE-NOT IN PERSON CONTACT",73,5
PETIT LARCENY,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,FACTORY/WAREHOUSE,"LARCENY,PETIT OF BICYCLE",0,5
SEX CRIMES,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,MOSQUE,"CHILD, ENDANGERING WELFARE",0,5
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,STORAGE FACILITY,"LARCENY,GRAND BY EXTORTION",0,5
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,(null),PORT AUTHORITY,OTHER,"CRIMINAL MISCHIEF 4TH, GRAFFIT",3,5
CRIMINAL MISCHIEF & RELATED OF,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,CHECK CASHING BUSINESS,"MISCHIEF, CRIMINAL 4, BY FIRE",0,5
(null),MISDEMEANOR,INSIDE,DEPT OF CORRECTIONS,OTHER,RIOT 2/INCITING,72,5
BURGLARY,FELONY,FRONT OF,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"BURGLARY, TRUCK UNKNOWN TIME",0,5
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,PARKING LOT/GARAGE (PRIVATE),"LARCENY,GRAND FROM PERSON, BAG OPEN/DIP",0,5
GRAND LARCENY OF MOTOR VEHICLE,FELONY,(null),N.Y. POLICE DEPT,RESTAURANT/DINER,"LARCENY,GRAND OF AUTO",0,5
MISCELLANEOUS PENAL LAW,FELONY,FRONT OF,N.Y. HOUSING POLICE,STREET,CRIMINAL CONTEMPT 1,2,5
ROBBERY,FELONY,INSIDE,N.Y. POLICE DEPT,PUBLIC BUILDING,"ROBBERY,COMMERCIAL UNCLASSIFIED",0,5
SEX CRIMES,MISDEMEANOR,(null),N.Y. POLICE DEPT,PARKING LOT/GARAGE (PRIVATE),"CHILD, ENDANGERING WELFARE",0,5
DANGEROUS DRUGS,FELONY,(null),N.Y. POLICE DEPT,GROCERY/BODEGA,"CONTROLLED SUBSTANCE, SALE 5",0,5
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. HOUSING POLICE,RESIDENCE - APT. HOUSE,"LARCENY,PETIT FROM BUILDING,UN",2,5
DANGEROUS WEAPONS,MISDEMEANOR,(null),N.Y. POLICE DEPT,GAS STATION,"WEAPONS, POSSESSION, ETC",0,5
OFFENSES INVOLVING FRAUD,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,FAST FOOD,"FORGERY,ETC.-MISD.",0,5
GRAND LARCENY,FELONY,FRONT OF,N.Y. POLICE DEPT,(null),"LARCENY,GRAND BY BANK ACCT COMPROMISE-REPRODUCED CHECK",0,5
MISCELLANEOUS PENAL LAW,VIOLATION,(null),N.Y. POLICE DEPT,(null),"FIREWORKS, POSSESS/USE",0,5
