ofns_desc,law_cat_cd,loc_of_occur_desc,juris_desc,prem_typ_desc,pd_desc,jurisdiction_code,row_count
FELONY ASSAULT,FELONY,FRONT OF,HEALTH & HOSP CORP,HOSPITAL,"ASSAULT 2,1,UNCLASSIFIED",14,7
MISCELLANEOUS PENAL LAW,FELONY,REAR OF,N.Y. POLICE DEPT,STREET,AGGRAVATED HARASSMENT 1,0,7
ROBBERY,FELONY,INSIDE,N.Y. POLICE DEPT,COMMERCIAL BUILDING,"ROBBERY,DWELLING",0,7
OFFENSES AGAINST PUBLIC ADMINI,MISDEMEANOR,(null),N.Y. POLICE DEPT,COMMERCIAL BUILDING,"PUBLIC ADMINISTATION,UNCLASS M",0,7
GRAND LARCENY,FELONY,FRONT OF,N.Y. POLICE DEPT,PUBLIC BUILDING,"LARCENY,GRAND BY ACQUIRING LOS",0,7
GRAND LARCENY OF MOTOR VEHICLE,FELONY,REAR OF,N.Y. POLICE DEPT,PARK/PLAYGROUND,"LARCENY,GRAND OF AUTO",0,7
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,FOOD SUPERMARKET,"LARCENY,GRAND BY BANK ACCT COMPROMISE-ATM TRANSACTION",0,7
MISCELLANEOUS PENAL LAW,FELONY,FRONT OF,N.Y. POLICE DEPT,LIQUOR STORE,CRIMINAL CONTEMPT 1,0,7
GRAND LARCENY,FELONY,INSIDE,N.Y. POLICE DEPT,REAL ESTATE,"LARCENY,GRAND BY EXTORTION",0,7
DANGEROUS DRUGS,FELONY,INSIDE,N.Y. POLICE DEPT,CHAIN STORE,"CONTROLLED SUBSTANCE,SALE 3",0,7
PETIT LARCENY,MISDEMEANOR,INSIDE,PORT AUTHORITY,CLOTHING/BOUTIQUE,"LARCENY,PETIT FROM BUILDING,UNATTENDED, PACKAGE THEFT INSIDE",3,7
OTHER STATE LAWS (NON PENAL LAW),MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,(null),"NY STATE LAWS,UNCLASSIFIED MIS",0,7
DANGEROUS DRUGS,FELONY,INSIDE,N.Y. POLICE DEPT,PUBLIC BUILDING,"CONTROLLED SUBSTANCE,SALE 2",0,7
FELONY ASSAULT,FELONY,FRONT OF,N.Y. POLICE DEPT,FOOD SUPERMARKET,ASSAULT POLICE/PEACE OFFICER,0,7
ROBBERY,FELONY,(null),N.Y. POLICE DEPT,FAST FOOD,"ROBBERY,PERSONAL ELECTRONIC DEVICE",0,7
OTHER OFFENSES RELATED TO THEFT,MISDEMEANOR,FRONT OF,N.Y. POLICE DEPT,COMMERCIAL BUILDING,"THEFT OF SERVICES, UNCLASSIFIE",0,7
PETIT LARCENY,MISDEMEANOR,REAR OF,N.Y. HOUSING POLICE,STREET,"LARCENY,PETIT FROM AUTO",2,7
INTOXICATED & IMPAIRED DRIVING,MISDEMEANOR,OPPOSITE OF,N.Y. POLICE DEPT,HIGHWAY/PARKWAY,"INTOXICATED DRIVING,ALCOHOL",0,7
PETIT LARCENY,MISDEMEANOR,INSIDE,N.Y. POLICE DEPT,FAST FOOD,"LARCENY,PETIT OF LICENSE PLATE",0,7
FELONY ASSAULT,FELONY,OPPOSITE OF,N.Y. POLICE DEPT,RESIDENCE - PUBLIC HOUSING,STRANGULATION 1ST,0,7
GRAND LARCENY OF MOTOR VEHICLE,FELONY,FRONT OF,N.Y. POLICE DEPT,RESIDENCE - APT. HOUSE,"LARCENY, GRAND OF AUTO - ATTEM",0,7
GRAND LARCENY,FELONY,INSIDE,N.Y. STATE POLICE,OTHER,"LARCENY,GRAND FROM BUILDING (NON-RESIDENCE) UNATTENDED",11,7
OFFENSES AGAINST PUBLIC ADMINI,MISDEMEANOR,(null),N.Y. POLICE DEPT,BUS STOP,"PUBLIC ADMINISTATION,UNCLASS M",0,7
