report_summary_offense_description,report_primary_offense_description,report_summary_offense_code,report_primary_offense_code,event_type,row_count
,1St Degree Murder,HOMICIDE,0999-0,General Offense,11
,Contempt of Court - Dv,FAMILYDV,5005-1,General Offense,11
,Loitering,CURFEWLO,5399-2,General Offense,10
,Welfare Fraud,FRAUDOFF,2699-3,General Offense,9
,Voyeurism/Peeping Tom - Dv,PEEPINGT,3611-1,General Offense,9
,Vawa Case,OTHER   ,0008-4,General Offense,9
,Robbery-Carjacking,CARJACK ,1212-0,General Offense,8
,Kidnap,KIDNAPIN,1099-0,General Offense,8
,Burglary From Vending Machine,BURGLARY,2307-1,General Offense,8
,Sexual Assault - Oral/Sodomy - Dv,EXPIRED ,1199-3,General Offense,8
,Prostitution-Procure/Entice,PANDERER,4002-0,General Offense,8
,Liquor Violation - Sell,LIQORLA ,4102-0,General Offense,7
,Obscene - Communication,OTHER   ,3707-0,General Offense,7
,Conservation - Animals,OTHER   ,6201-0,General Offense,7
,Obstructing An Investigation,OTHER   ,4802-0,General Offense,7
,Prevent Use of Telephone - Dv,FAMILYDV,7399-7,General Offense,6
,Theft From Vending Machine,BURGLARY,2307-0,General Offense,6
,Stolen Prop-Sale of,STOLENPR,2801-0,General Offense,6
,Unlawful Imprisonment - Dv,FAMILYDV,1099-3,General Offense,6
,2Nd Degree Murder - Dv,HOMICIDE,0999-7,General Offense,6
,Theft-No Force Purse Snatch,LARCENYT,2302-0,General Offense,5
,Vehicular Murder/Manslaughter,VEHHOMI ,0909-0,General Offense,5
,Human Trafficking - Sex Acts,OTHER   ,6411-1,General Offense,5
,Prevent Use of Telephone,OTHER   ,7399-6,General Offense,5
,Sexual Assault With Object - Dv,EXPIRED ,1199-5,General Offense,5
,Narcotics Parcel Interdiction,DRUGNARC,3599-2,General Offense,5
,Animal Cruelty - Dv,ANIMCRUE,7201-1,General Offense,5
,Agg Assault - Officer - Major Injury,ASSAULTO,1311-1,General Offense,5
,No Notify,OTHER   ,0012-0,General Offense,4
,Kidnap - Dv,FAMILYDV,1099-1,General Offense,4
,Injury Collision,EXPIRED ,5405-1,General Offense,4
,Conspiracy/Facilitation/Solici,OTHER   ,7399-1,General Offense,4
,Election Law Violation,OTHER   ,5999-0,General Offense,4
,Perjury,OTHER   ,5003-0,General Offense,4
,Child/Adult Abuse-Sr Inj Ng-Dv,CADVABUS,3801-1,General Offense,4
,Escape,OTHER   ,4901-0,General Offense,4
,Unlawful Imprisonment,OTHER   ,1099-2,General Offense,3
,Possession of Burglary Tools,POSSTOOL,2206-0,General Offense,3
,1St Degree Murder - Dv,HOMICIDE,0999-6,General Offense,3
,Bestiality,SEXOFFEN,7201-2,General Offense,3
,Sexual Offense,EXPIRED ,1112-0,General Offense,2
,Witness Tampering,OTHER   ,4805-0,General Offense,2
,Non-Injury Collision,EXPIRED ,5405-0,General Offense,2
,Defacing Weapon,WEAPONLA,5201-0,General Offense,2
,Human Trafficking - Servitude,OTHER   ,6411-0,General Offense,2
,Invasion of Privacy,OTHER   ,5799-0,General Offense,2
,Use/Possess Explosives,WEAPONLA,5206-0,General Offense,1
