crimename3,row_count
BURGLARY - SAFE-VAULT,26
OBSTRUCT POLICE - EVIDENCE - DESTROYING,26
FALSE IMPRISONMENT - MINOR - NONPARENTAL,26
RAPE - GUN,23
SOLICITATION - ADULT FOR SEXUAL ACTS,23
WEAPON - EXPLOSIVES - POSSESSING,22
DAMAGE PROPERTY - PRIVATE-WITH EXPLOSIVE,21
KIDNAP MINOR,21
HEALTH - SAFETY (DESCRIBE OFFENSE),21
JUVENILE - OUT OF CONTROL,20
WEAPON - THREAT TO BURN,20
ASSAULT - AGGRAVATED - POL OFF-GUN,19
ARSON - BUSINESS-ENDANGERED LIFE,18
OBSTRUCT GOVT - FAILURE TO APPEAR,17
INVASION PRIVACY (DESCRIBE OFFENSE),17
DRUGS - INHALE HARMFUL SUBSTANCE,17
LARCENY - THEFT OF US GOVERNMENT PROPERTY,16
HOMICIDE - WILLFUL KILL-FAMILY,16
BURGLARY - BANKING-TYPE INST,15
HOME IMPROVEMENT VIOLATION,15
SEX OFFENSE - INCEST WITH MINOR,14
OBSTRUCT GOVT - CONTEMPT OF COURT,13
AUTO THEFT - THEFT AND STRIP VEHICLE,13
OBSCENE MATERIAL - MANUFACTURE,13
AUTO THEFT - STRIP STOLEN VEHICLE,13
LIQUOR - TRANSPORT,13
EXTORT - THREAT OF INFORMING OF VIOLENCE,13
HOMICIDE - JUSTIFIABLE,12
OBSTRUCT GOVT - PROBATION VIOLATION,12
HOMICIDE - WILLFUL KILL-FAMILY-GUN,12
ASSAULT - AGGRAVATED - PUB OFF-STRONG-ARM,12
RECEIVE STOLEN VEHICLE,11
ARSON - PUB-BLDG,11
ARSON - PUB-BLDG-ENDANGERED LIFE,11
HOMOSEXUAL ACT WITH BOY,11
"OBSTRUCT - (SPECIFY JUDIC, CONGR, LEGIS, COMMSN)",11
FORGERY/COUNTERFEITING - POSSESS TOOLS FOR,10
KIDNAP MINOR - NONPARENTAL,10
OBSCENITY (DESCRIBE OFFENSE),10
HOMICIDE - WILLFUL KILL-NON-FAMILY-GUN,10
MORALS - DECENCY CRIMES,10
ESCAPE,9
ASSAULT - AGGRAVATED - PUB OFF-GUN,9
WEAPON - INCENDIARY DEVICE - USING,9
VIOLATION OF EMERGENCY ORDER - GATHERING,9
DRUGS - COCAINE - SMUGGLE,9
HOMICIDE - WILLFUL KILL-NON-FAMILY,8
COMM SEX OFF - HOMOSEXUAL PROSTITUTION,8
SEX ASSAULT - SODOMY-MAN-WEAPON,8
WEAPON - EXPLOSIVES - USING,8
FAMILY OFFENSE - CONTRIBUTING TO THE DELINQUENCY O,8
DRUGS - SYNTHETIC NARCOTIC - SMUGGLE,8
HEALTH - DRUGS - HEALTH OR SAFETY,8
STOLEN PROPERTY - RECEIVE,8
COMM SEX OFF - PROCURE FOR PROSTITUTE (PIMPING),7
DRUGS - OPIUM OR DERIVATIVE - SMUGGLE,7
WEAPON TRAFFICKING,7
DRUGS - BARBITURATE (DESCRIBE OTHER),7
WEAPON - INCENDIARY DEVICE - POSSESS,7
FAILING TO MOVE ON,7
INVASION PRIVACY - WIRETAP - FAILURE TO REPORT,7
SMUGGLING - CONTRABAND INTO PRISON,7
ESCAPE - FLIGHT TO AVOID,7
LARCENY - FROM INTERSTATE SHIPMENT,6
COMM SEX OFF - PROCURE PROSTITUTE - MINOR,6
ABDUCT - NO RANSOM OR ASSAULT,6
KIDNAP - MINOR PARENTAL,6
VIOLATION OF EMERGENCY ORDER - NON-ESSENTIAL TRAV,6
SEX ASSAULT - SODOMY-WOMAN-GUN,5
EXTORT - THREAT DAMAGE PROP,5
DRUGS - HEROIN - SMUGGLE,5
EMBEZZLE - POSTAL,5
CONDIT RELEASE VIOLATION,5
ILLEGAL ENTRY,5
HOMOSEXUAL ACT WITH MAN,5
EMBEZZLE - INTERSTATE SHIPMENT,5
OBSTRUCT POLICE - WITNESS - DISSUADING,5
FAILURE TO APPEAR - NON SUPPORT,5
THREAT - FEDERAL PROTECTEES,5
HOMICIDE - NEGLIGENT MANSLAUGHTER,4
HEALTH - DRUGS - MISBRANDED,4
WEAPON - SELLING,4
VIOLATION OF EMERGENCY ORDER - NON-ESSENTIAL BUS,4
WEAPON - ALTERING IDENTIFICATION ON,3
HUMAN TRAFFICKING - INVOLUNTARY SERITUDE,3
INCOME TAX (DESCRIBE OFFENSE),3
STOLEN PROPERTY - SALE OF,3
SEX ASSAULT - SODOMY-WOMAN-WEAPON,3
MONEY LAUNDERING (DESCRIBE OFFENSE),3
FALSE CITIZENSHIP,3
HOMICIDE - BY NON-POLICE - JUSTIFIABLE,3
SMUGGLING - CONTRABAND,3
CONSERVATION - ANIMALS (DESCRIBE OFFENSE),3
OBSTRUCT GOVT - PAROLE VIOLATION,3
INVASION PRIVACY - OPENING SEALED COMMUNICATION,2
OBSTRUCT POLICE - ILLEGAL ARREST,2
SEX ASSAULT - SODOMY-MAN-GUN,2
ABORTION,2
FALSE IMPRISONMENT - MINOR - PARENTAL,2
DRUGS - HALLUCINOGEN - MFR,2
ESCAPE/FLIGHT (DESCRIBE OFFENSE),2
OBSTRUCT POLICE - WITNESS - DECEIVING,2
STOLEN PROPERTY - CONCEAL,2
FAMILY OFFENSE - BIGAMY,2
PUBLIC PEACE - ASSEMBLY - UNLAWFUL,2
SMUGGLING (DESCRIBE OFFENSE),2
EMBEZZLE - PUBLIC PROP,2
OBSCENE MATERIAL - SELL,2
FAMILY OFFENSE - CRUELTY TOWARD WIFE,2
DAMAGE PROPERTY - BUSINESS-WITH EXPLOSIVE,2
STOLEN PROPERTY - TRANSPORT INTERSTATE,1
ABORTIONAL ACT OF SELF,1
COMPOUNDING CRIME,1
NON SUPPORT,1
SEX ASSAULT - SODOMY-GIRL-GUN,1
HOMICIDE - JOHN OR JANE DOE - NO WARRANT,1
KIDNAP HOSTAGE FOR ESCAPE,1
OBSTRUCT GOVT - MISCONDUCT - JUDIC OFFICER,1
BAIL - PERSON RECOG,1
MANDATORY RELEASE VIOLATION,1
GAMBLING - DICE GAME,1
ANTITRUST (DESCRIBE OFFENSE),1
COMM SEX OFF - TRANSPORT FEMALE INTERSTATE FOR IMM,1
LIQUOR - MANUFACTURE,1
OBSTRUCT GOVT - PERJURY,1
FAILURE REPORT CRIME,1
HEALTH - DRUGS - ADULTERATED,1
SEX ASSAULT - SODOMY-GIRL-WEAPON,1
WEAPON - EXPLOSIVES - TRANSPORTING,1
SEX OFFENSE - INCEST WITH ADULT,1
DRUGS - BARBITURATE - MANUFACTURE,1
KIDNAP MINOR FOR RANSOM,1
BRIBERY (DESCRIBE OFFENSE),1
BRIBERY - OFFERING BRIBE,1
COMM SEX OFF - KEEPING HOUSE ILL FAME,1
AUTO THEFT - THEFT VEHICLE BY BAILEE,1
KIDNAP ADULT FOR RANSOM,1
CONSERVATION - ENVIRONMENT (DESCRIBE OFFENSE),1
DRUGS - AMPHETAMINE - MANUFACTURE,1
DAMAGE PROPERTY - PUBLIC-WITH EXPLOSIVE,1
TAX - LIQUOR (DESCRIBE OFFENSE),1
TRANSPORTING DANGEROUS MATERIALS,1
SABOTAGE,1
INVASION PRIVACY - DIVULGE MESSAGE CONTENTS,1
