nibrs_offense_code_description,nibrs_offense_code,nibrs_crime_against_category,offense_sub_category,offense_category,nibrs_group_a_b,shooting_type_group,offense_id,source_file_uri
All Other Offenses,90Z,ANY,ALL OTHER,ALL OTHER,B,-,7650792998,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Offenses,90Z,ANY,ALL OTHER,ALL OTHER,B,-,7646285046,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Theft From Motor Vehicle,23F,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7688650341,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Simple Assault,13B,PERSON,ASSAULT OFFENSES,ALL OTHER,A,-,7698991972,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Theft From Motor Vehicle,23F,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7649916093,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Motor Vehicle Theft,240,PROPERTY,MOTOR VEHICLE THEFT,PROPERTY CRIME,A,-,7675745608,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Theft From Motor Vehicle,23F,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7678947984,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Trespass of Real,90J,SOCIETY,TRESPASS,ALL OTHER,B,-,7643261114,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Theft of Motor Vehicle Parts or Accessories,23G,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7662247155,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Offenses,90Z,ANY,ALL OTHER,ALL OTHER,B,-,7630040296,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Credit Card/Automated Teller Machine Fraud,26B,PROPERTY,EXTORTION/FRAUD/FORGERY/BRIBERY (INCLUDES BAD CHECKS),ALL OTHER,A,-,7670063709,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Theft From Motor Vehicle,23F,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7693514657,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Offenses,90Z,ANY,ALL OTHER,ALL OTHER,B,-,7654398981,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
"Family Offenses, Nonviolent",90F,SOCIETY,NON-VIOLENT FAMILY OFFENSES,ALL OTHER,B,-,7658824839,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Motor Vehicle Theft,240,PROPERTY,MOTOR VEHICLE THEFT,PROPERTY CRIME,A,-,7672504312,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Robbery,120,PROPERTY,ROBBERY,VIOLENT CRIME,A,-,7633681486,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
Credit Card/Automated Teller Machine Fraud,26B,PROPERTY,EXTORTION/FRAUD/FORGERY/BRIBERY (INCLUDES BAD CHECKS),ALL OTHER,A,-,7676981299,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
All Other Larceny,23H,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,-,7681914268,s3://crimenet-data/raw_files/landing/seattle/occurrence_year=2014/part-00009-tid-4888582482094388601-4bf2ebc9-6283-4da3-9064-ba77e3904313-932-1.c000.snappy.parquet
