nibrs_offense_code_description,nibrs_offense_code,nibrs_crime_against_category,offense_sub_category,offense_category,nibrs_group_a_b,shooting_type_group,row_count
Burglary/Breaking & Entering,220,PROPERTY,BURGLARY,PROPERTY CRIME,A,Shots Fired (Eyewitness/Casings/Property Damage),40
Simple Assault,13B,PERSON,ASSAULT OFFENSES,ALL OTHER,A,Shots Fired (Eyewitness/Casings/Property Damage),36
Justifiable Homicide,09C,NOT_A_CRIME,JUSTIFIABLE HOMICIDE,ALL OTHER,A,-,32
All Other Offenses,90Z,ANY,ALL OTHER,ALL OTHER,B,Shooting (Non-Fatal Injury),32
Drug/Narcotic Violations,35A,SOCIETY,NARCOTIC VIOLATIONS (INCLUDES DRUG EQUIP.),ALL OTHER,A,Shots Fired (Eyewitness/Casings/Property Damage),31
Intimidation,13C,PERSON,ASSAULT OFFENSES,ALL OTHER,A,Shots Fired (Eyewitness/Casings/Property Damage),27
Drunkenness,90E,SOCIETY,LIQUOR LAW VIOLATIONS & DRUNKENNESS,ALL OTHER,B,-,25
Incest,36A,PERSON,SEX OFFENSES,ALL OTHER,A,-,24
Drug/Narcotic Violations,35A,SOCIETY,NARCOTIC VIOLATIONS (INCLUDES DRUG EQUIP.),ALL OTHER,A,Shooting (Non-Fatal Injury),20
Negligent Manslaughter,09B,PERSON,HOMICIDE,VIOLENT CRIME,A,-,20
"Family Offenses, Nonviolent",90F,SOCIETY,NON-VIOLENT FAMILY OFFENSES,ALL OTHER,B,Shots Fired (Eyewitness/Casings/Property Damage),19
Destruction/Damage/Vandalism of Property,290,PROPERTY,"PROPERTY OFFENSES (INCLUDES STOLEN, DESTRUCTION)",ALL OTHER,A,Shooting (Fatal Injury),16
Bribery,510,PROPERTY,EXTORTION/FRAUD/FORGERY/BRIBERY (INCLUDES BAD CHECKS),ALL OTHER,A,-,16
Simple Assault,13B,PERSON,ASSAULT OFFENSES,ALL OTHER,A,Shooting (Non-Fatal Injury),15
Stolen Property Offenses,280,PROPERTY,"PROPERTY OFFENSES (INCLUDES STOLEN, DESTRUCTION)",ALL OTHER,A,Shooting (Non-Fatal Injury),15
Violation of No Contact Orders,500,PERSON,VIOLATION OF NO CONTACT ORDER,ALL OTHER,A,Shots Fired (Eyewitness/Casings/Property Damage),13
Betting/Wagering,39A,SOCIETY,GAMBLING OFFENSES,ALL OTHER,A,-,12
Motor Vehicle Theft,240,PROPERTY,MOTOR VEHICLE THEFT,PROPERTY CRIME,A,Shots Fired (Eyewitness/Casings/Property Damage),12
Burglary/Breaking & Entering,220,PROPERTY,BURGLARY,PROPERTY CRIME,A,Shooting (Non-Fatal Injury),11
Not Reportable to NIBRS,999,NOT_A_CRIME,999,ALL OTHER,B,Shooting (Fatal Injury),11
Kidnapping/Abduction,100,PERSON,KIDNAPPING/ABDUCTION,ALL OTHER,A,Shots Fired (Eyewitness/Casings/Property Damage),10
Weapon Law Violations,520,SOCIETY,WEAPON LAW VIOLATION,ALL OTHER,A,Shooting (Fatal Injury),9
All Other Larceny,23H,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,Shots Fired (Eyewitness/Casings/Property Damage),9
Driving Under the Influence,90D,SOCIETY,DUI,ALL OTHER,B,Shots Fired (Eyewitness/Casings/Property Damage),8
Theft of Motor Vehicle Parts or Accessories,23G,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,Shots Fired (Eyewitness/Casings/Property Damage),7
All Other Offenses,90Z,ANY,ALL OTHER,ALL OTHER,B,Shooting (Fatal Injury),7
Trespass of Real,90J,SOCIETY,TRESPASS,ALL OTHER,B,Shots Fired (Eyewitness/Casings/Property Damage),6
Murder & Nonnegligent Manslaughter,09A,PERSON,HOMICIDE,VIOLENT CRIME,A,Shooting (Non-Fatal Injury),6
Animal Cruelty,720,SOCIETY,ANIMAL CRUELTY,ALL OTHER,A,Shots Fired (Eyewitness/Casings/Property Damage),6
Theft From Motor Vehicle,23F,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,Shots Fired (Eyewitness/Casings/Property Damage),5
Shoplifting,23C,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,Shots Fired (Eyewitness/Casings/Property Damage),5
Murder & Nonnegligent Manslaughter,09A,PERSON,HOMICIDE,VIOLENT CRIME,A,Shots Fired (Eyewitness/Casings/Property Damage),4
Violation of No Contact Orders,500,PERSON,VIOLATION OF NO CONTACT ORDER,ALL OTHER,A,Shooting (Non-Fatal Injury),4
Robbery,120,PROPERTY,ROBBERY,VIOLENT CRIME,A,Shooting (Fatal Injury),4
Motor Vehicle Theft,240,PROPERTY,MOTOR VEHICLE THEFT,PROPERTY CRIME,A,Shooting (Non-Fatal Injury),3
"Human Trafficking, Involuntary Servitude",64B,PERSON,HUMAN TRAFFICKING,ALL OTHER,A,-,3
Trespass of Real,90J,SOCIETY,TRESPASS,ALL OTHER,B,Shooting (Non-Fatal Injury),3
Stolen Property Offenses,280,PROPERTY,"PROPERTY OFFENSES (INCLUDES STOLEN, DESTRUCTION)",ALL OTHER,A,Shooting (Fatal Injury),3
Driving Under the Influence,90D,SOCIETY,DUI,ALL OTHER,B,Shooting (Non-Fatal Injury),3
Simple Assault,13B,PERSON,ASSAULT OFFENSES,ALL OTHER,A,Shooting (Fatal Injury),3
Kidnapping/Abduction,100,PERSON,KIDNAPPING/ABDUCTION,ALL OTHER,A,Shooting (Non-Fatal Injury),2
False Pretenses/Swindle/Confidence Game,26A,PROPERTY,EXTORTION/FRAUD/FORGERY/BRIBERY (INCLUDES BAD CHECKS),ALL OTHER,A,Shooting (Non-Fatal Injury),2
Operating/Promoting/Assisting Gambling,39B,SOCIETY,GAMBLING OFFENSES,ALL OTHER,A,-,2
Theft of Motor Vehicle Parts or Accessories,23G,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,Shooting (Non-Fatal Injury),2
Drug Equipment Violations,35B,SOCIETY,NARCOTIC VIOLATIONS (INCLUDES DRUG EQUIP.),ALL OTHER,A,Shots Fired (Eyewitness/Casings/Property Damage),2
All Other Larceny,23H,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,Shooting (Non-Fatal Injury),2
Theft From Motor Vehicle,23F,PROPERTY,LARCENY-THEFT,PROPERTY CRIME,A,Shooting (Non-Fatal Injury),2
